open,high,low,last,close,date,symbol,stock_splits,estado
95.35,97.05,94.95,98.06,98.06,2020-05-29T00:00:00+0000,AXP,0.0,datos_limpios
95.04,98.05,94.76,95.07,95.07,2020-06-01T00:00:00+0000,AXP,0.0,datos_limpios
98.49,100.42,94.56,96.75,96.75,2020-06-02T00:00:00+0000,AXP,0.0,datos_limpios
103.39,107.42,103.39,105.4,105.4,2020-06-04T00:00:00+0000,AXP,0.0,datos_limpios
114.57,115.86,103.23,106.54,106.54,2020-06-05T00:00:00+0000,AXP,0.0,datos_limpios
112.0,113.56,109.73,109.73,109.73,2020-06-08T00:00:00+0000,AXP,0.0,datos_limpios
111.91,113.71,108.71,113.67,113.67,2020-06-09T00:00:00+0000,AXP,0.0,datos_limpios
110.08,111.798,108.67,113.67,113.67,2020-06-10T00:00:00+0000,AXP,0.0,datos_limpios
102.82,102.82,98.15,99.91,99.91,2020-06-11T00:00:00+0000,AXP,0.0,datos_limpios
103.235,103.3,98.295,99.79,99.79,2020-06-12T00:00:00+0000,AXP,0.0,datos_limpios
104.74,104.74,97.66,101.68,101.68,2020-06-15T00:00:00+0000,AXP,0.0,datos_limpios
111.62,111.62,97.62,103.95,103.95,2020-06-16T00:00:00+0000,AXP,0.0,datos_limpios
109.02,109.06,102.855,105.62,105.62,2020-06-17T00:00:00+0000,AXP,0.0,datos_limpios
105.67,106.12,101.33,103.96,103.96,2020-06-18T00:00:00+0000,AXP,0.0,datos_limpios
104.1,104.1,99.41,102.16,102.16,2020-06-19T00:00:00+0000,AXP,0.0,datos_limpios
98.39,100.475,98.33,100.94,100.94,2020-06-22T00:00:00+0000,AXP,0.0,datos_limpios
100.88,101.605,97.95,99.44,99.44,2020-06-23T00:00:00+0000,AXP,0.0,datos_limpios
100.94,101.6475,95.0,99.42,99.42,2020-06-24T00:00:00+0000,AXP,0.0,datos_limpios
97.65,98.27,93.85,95.48,95.48,2020-06-25T00:00:00+0000,AXP,0.0,datos_limpios
96.12,98.12,92.48,97.85,97.85,2020-06-26T00:00:00+0000,AXP,0.0,datos_limpios
93.71,95.395,93.365,93.42,93.42,2020-06-29T00:00:00+0000,AXP,0.0,datos_limpios
94.44,95.58,93.34,94.52,94.52,2020-06-30T00:00:00+0000,AXP,0.0,datos_limpios
95.32,96.855,93.5656,95.2,95.2,2020-07-01T00:00:00+0000,AXP,0.0,datos_limpios
96.405,97.23,93.64,94.05,94.05,2020-07-02T00:00:00+0000,AXP,0.0,datos_limpios
96.51,97.77,94.33,94.33,94.33,2020-07-06T00:00:00+0000,AXP,0.0,datos_limpios
96.51,97.9,92.63,96.58,96.58,2020-07-07T00:00:00+0000,AXP,0.0,datos_limpios
95.44,95.52,90.715,93.01,93.01,2020-07-08T00:00:00+0000,AXP,0.0,datos_limpios
92.595,93.1,89.61,92.9,92.9,2020-07-09T00:00:00+0000,AXP,0.0,datos_limpios
92.51,93.3,89.58,90.57,90.57,2020-07-10T00:00:00+0000,AXP,0.0,datos_limpios
93.97,95.75,92.83,93.23,93.23,2020-07-13T00:00:00+0000,AXP,0.0,datos_limpios
94.24,95.76,92.315,93.56,93.56,2020-07-14T00:00:00+0000,AXP,0.0,datos_limpios
96.4,97.72,92.29,94.84,94.84,2020-07-15T00:00:00+0000,AXP,0.0,datos_limpios
96.85,97.78,95.705,97.36,97.36,2020-07-16T00:00:00+0000,AXP,0.0,datos_limpios
96.5,97.79,95.02,96.32,96.32,2020-07-17T00:00:00+0000,AXP,0.0,datos_limpios
94.47,95.345,93.595,95.18,95.18,2020-07-20T00:00:00+0000,AXP,0.0,datos_limpios
95.14,97.46,93.58,94.0,94.0,2020-07-21T00:00:00+0000,AXP,0.0,datos_limpios
95.72,97.46,94.73,96.33,96.33,2020-07-22T00:00:00+0000,AXP,0.0,datos_limpios
96.12,97.78,95.38,96.54,96.54,2020-07-23T00:00:00+0000,AXP,0.0,datos_limpios
95.51,97.78,93.43,96.67,96.67,2020-07-24T00:00:00+0000,AXP,0.0,datos_limpios
94.57,95.98,93.72,95.33,95.33,2020-07-27T00:00:00+0000,AXP,0.0,datos_limpios
95.86,96.29,93.6401,95.79,95.79,2020-07-28T00:00:00+0000,AXP,0.0,datos_limpios
