open,high,low,last,close,date,symbol,stock_splits,estado
46.025,46.125,45.42,45.595,45.595,2020-05-29T00:00:00+0000,CSCO,0.0,datos_limpios
47.15,47.28,46.23,47.82,47.82,2020-06-01T00:00:00+0000,CSCO,0.0,datos_limpios
47.15,47.285,45.88,46.3,46.3,2020-06-02T00:00:00+0000,CSCO,0.0,datos_limpios
46.77,47.24,46.535,46.94,46.94,2020-06-04T00:00:00+0000,CSCO,0.0,datos_limpios
47.38,48.295,46.5301,46.86,46.86,2020-06-05T00:00:00+0000,CSCO,0.0,datos_limpios
47.44,48.14,47.12,47.83,47.83,2020-06-08T00:00:00+0000,CSCO,0.0,datos_limpios
48.015,48.235,47.12,48.13,48.13,2020-06-09T00:00:00+0000,CSCO,0.0,datos_limpios
48.02,48.24,47.49,48.13,48.13,2020-06-10T00:00:00+0000,CSCO,0.0,datos_limpios
46.985,46.985,43.64,46.115,46.115,2020-06-11T00:00:00+0000,CSCO,0.0,datos_limpios
45.85,45.85,43.65,44.87,44.87,2020-06-12T00:00:00+0000,CSCO,0.0,datos_limpios
45.725,45.765,43.935,45.07,45.07,2020-06-15T00:00:00+0000,CSCO,0.0,datos_limpios
47.37,47.455,43.93,45.35,45.35,2020-06-16T00:00:00+0000,CSCO,0.0,datos_limpios
47.41,47.49,45.9,46.48,46.48,2020-06-17T00:00:00+0000,CSCO,0.0,datos_limpios
46.75,46.82,45.355,46.17,46.17,2020-06-18T00:00:00+0000,CSCO,0.0,datos_limpios
46.29,46.51,45.05,45.83,45.83,2020-06-19T00:00:00+0000,CSCO,0.0,datos_limpios
45.03,45.465,44.81,45.32,45.32,2020-06-22T00:00:00+0000,CSCO,0.0,datos_limpios
45.91,46.14,44.805,45.16,45.16,2020-06-23T00:00:00+0000,CSCO,0.0,datos_limpios
45.92,46.15,44.395,45.47,45.47,2020-06-24T00:00:00+0000,CSCO,0.0,datos_limpios
45.2875,45.47,44.2,44.75,44.75,2020-06-25T00:00:00+0000,CSCO,0.0,datos_limpios
45.065,46.495,44.2,45.22,45.22,2020-06-26T00:00:00+0000,CSCO,0.0,datos_limpios
45.845,46.18,45.69,46.31,46.31,2020-06-29T00:00:00+0000,CSCO,0.0,datos_limpios
46.34,46.995,45.67,46.15,46.15,2020-06-30T00:00:00+0000,CSCO,0.0,datos_limpios
46.55,47.01,46.005,46.64,46.64,2020-07-01T00:00:00+0000,CSCO,0.0,datos_limpios
46.6053,46.72,45.51,46.06,46.06,2020-07-02T00:00:00+0000,CSCO,0.0,datos_limpios
46.095,46.485,45.63,45.63,45.63,2020-07-06T00:00:00+0000,CSCO,0.0,datos_limpios
46.27,46.49,45.605,46.42,46.42,2020-07-07T00:00:00+0000,CSCO,0.0,datos_limpios
46.12,46.29,45.32,45.63,45.63,2020-07-08T00:00:00+0000,CSCO,0.0,datos_limpios
46.7,47.195,45.32,45.81,45.81,2020-07-09T00:00:00+0000,CSCO,0.0,datos_limpios
46.7,47.2,46.22,46.7,46.7,2020-07-10T00:00:00+0000,CSCO,0.0,datos_limpios
46.865,46.99,45.815,46.66,46.66,2020-07-13T00:00:00+0000,CSCO,0.0,datos_limpios
45.3,46.5,45.25,45.93,45.93,2020-07-14T00:00:00+0000,CSCO,0.0,datos_limpios
46.49,46.82,45.41,46.26,46.26,2020-07-15T00:00:00+0000,CSCO,0.0,datos_limpios
46.5,46.83,45.195,46.4,46.4,2020-07-16T00:00:00+0000,CSCO,0.0,datos_limpios
46.01,46.925,45.2,45.78,45.78,2020-07-17T00:00:00+0000,CSCO,0.0,datos_limpios
46.67,47.075,46.27,46.75,46.75,2020-07-20T00:00:00+0000,CSCO,0.0,datos_limpios
47.22,47.33,46.26,46.97,46.97,2020-07-21T00:00:00+0000,CSCO,0.0,datos_limpios
47.27,47.3,46.53,47.02,47.02,2020-07-22T00:00:00+0000,CSCO,0.0,datos_limpios
47.02,47.695,46.53,46.9,46.9,2020-07-23T00:00:00+0000,CSCO,0.0,datos_limpios
47.5,47.7,46.115,47.41,47.41,2020-07-24T00:00:00+0000,CSCO,0.0,datos_limpios
46.4,47.26,46.24,46.4,46.4,2020-07-27T00:00:00+0000,CSCO,0.0,datos_limpios
46.98,47.26,46.15,47.19,47.19,2020-07-28T00:00:00+0000,CSCO,0.0,datos_limpios
46.98,47.08,46.21,46.28,46.28,2020-07-29T00:00:00+0000,CSCO,0.0,datos_limpios
