open,high,low,last,close,date,symbol,stock_splits,estado
90.0,90.71,89.32,90.87,90.87,2020-05-29T00:00:00+0000,CVX,0.0,datos_limpios
90.97,93.84,90.18,91.7,91.7,2020-06-01T00:00:00+0000,CVX,0.0,datos_limpios
93.685,95.2,90.11,92.79,92.79,2020-06-02T00:00:00+0000,CVX,0.0,datos_limpios
96.77,96.77,95.2,97.18,97.18,2020-06-04T00:00:00+0000,CVX,0.0,datos_limpios
100.335,101.94,95.16,96.28,96.28,2020-06-05T00:00:00+0000,CVX,0.0,datos_limpios
102.59,103.485,100.81,100.81,100.81,2020-06-08T00:00:00+0000,CVX,0.0,datos_limpios
102.63,103.59,99.91,103.24,103.24,2020-06-09T00:00:00+0000,CVX,0.0,datos_limpios
100.7,102.93,99.83,103.24,103.24,2020-06-10T00:00:00+0000,CVX,0.0,datos_limpios
93.99,94.15,89.12,91.595,91.595,2020-06-11T00:00:00+0000,CVX,0.0,datos_limpios
93.57,93.61,89.38,91.67,91.67,2020-06-12T00:00:00+0000,CVX,0.0,datos_limpios
92.005,92.005,88.3,92.39,92.39,2020-06-15T00:00:00+0000,CVX,0.0,datos_limpios
95.47,95.47,88.21,91.23,91.23,2020-06-16T00:00:00+0000,CVX,0.0,datos_limpios
94.99,95.58,91.49,94.03,94.03,2020-06-17T00:00:00+0000,CVX,0.0,datos_limpios
93.83,94.0,90.19,91.54,91.54,2020-06-18T00:00:00+0000,CVX,0.0,datos_limpios
94.49,94.49,90.1,91.94,91.94,2020-06-19T00:00:00+0000,CVX,0.0,datos_limpios
90.35,91.675,89.595,90.63,90.63,2020-06-22T00:00:00+0000,CVX,0.0,datos_limpios
92.41,93.04,89.59,91.59,91.59,2020-06-23T00:00:00+0000,CVX,0.0,datos_limpios
92.5,93.09,87.035,91.44,91.44,2020-06-24T00:00:00+0000,CVX,0.0,datos_limpios
89.99,90.13,86.86,87.64,87.64,2020-06-25T00:00:00+0000,CVX,0.0,datos_limpios
88.7,89.51,86.21,89.21,89.21,2020-06-26T00:00:00+0000,CVX,0.0,datos_limpios
87.025,88.52,86.46,86.46,86.46,2020-06-29T00:00:00+0000,CVX,0.0,datos_limpios
86.91,89.98,86.41,87.67,87.67,2020-06-30T00:00:00+0000,CVX,0.0,datos_limpios
89.285,90.73,86.36,89.23,89.23,2020-07-01T00:00:00+0000,CVX,0.0,datos_limpios
89.47,90.77,87.55,87.62,87.62,2020-07-02T00:00:00+0000,CVX,0.0,datos_limpios
89.725,90.23,87.825,88.31,88.31,2020-07-06T00:00:00+0000,CVX,0.0,datos_limpios
89.5,90.25,86.16,88.57,88.57,2020-07-07T00:00:00+0000,CVX,0.0,datos_limpios
87.82,88.08,85.895,86.31,86.31,2020-07-08T00:00:00+0000,CVX,0.0,datos_limpios
86.39,87.8,82.755,86.35,86.35,2020-07-09T00:00:00+0000,CVX,0.0,datos_limpios
85.97,86.32,82.57,82.74,82.74,2020-07-10T00:00:00+0000,CVX,0.0,datos_limpios
86.05,86.905,84.945,85.23,85.23,2020-07-13T00:00:00+0000,CVX,0.0,datos_limpios
86.04,88.595,84.81,85.4,85.4,2020-07-14T00:00:00+0000,CVX,0.0,datos_limpios
90.015,90.12,85.04,88.35,88.35,2020-07-15T00:00:00+0000,CVX,0.0,datos_limpios
90.18,90.19,87.36,88.89,88.89,2020-07-16T00:00:00+0000,CVX,0.0,datos_limpios
88.44,89.48,86.92,88.36,88.36,2020-07-17T00:00:00+0000,CVX,0.0,datos_limpios
87.21,87.49,84.85,87.19,87.19,2020-07-20T00:00:00+0000,CVX,0.0,datos_limpios
86.83,91.72,84.8,85.27,85.27,2020-07-21T00:00:00+0000,CVX,0.0,datos_limpios
