open,high,low,last,close,date,symbol,stock_splits,estado
38.16,38.97,37.76,38.74967173483573,38.74967173483573,2020-05-29T00:00:00+0000,DOW,0.0,datos_limpios
38.425,38.995,38.225,38.7002335926662,38.7002335926662,2020-06-01T00:00:00+0000,DOW,0.0,datos_limpios
39.155,40.98,38.18,38.6,38.6,2020-06-02T00:00:00+0000,DOW,0.0,datos_limpios
41.73,42.72,41.57,41.63,41.63,2020-06-04T00:00:00+0000,DOW,0.0,datos_limpios
45.2,45.68,41.32,41.63,41.63,2020-06-05T00:00:00+0000,DOW,0.0,datos_limpios
44.21,45.915,43.97,43.97,43.97,2020-06-08T00:00:00+0000,DOW,0.0,datos_limpios
44.29,45.93,43.95,45.9,45.9,2020-06-09T00:00:00+0000,DOW,0.0,datos_limpios
44.47,44.82,43.9191,45.9,45.9,2020-06-10T00:00:00+0000,DOW,0.0,datos_limpios
42.0,42.02,38.955,39.625,39.625,2020-06-11T00:00:00+0000,DOW,0.0,datos_limpios
41.76,41.76,39.315,40.77,40.77,2020-06-12T00:00:00+0000,DOW,0.0,datos_limpios
42.42,42.43,39.3,41.23,41.23,2020-06-15T00:00:00+0000,DOW,0.0,datos_limpios
44.95,44.95,39.29,41.98,41.98,2020-06-16T00:00:00+0000,DOW,0.0,datos_limpios
44.16,44.5,41.05,42.25,42.25,2020-06-17T00:00:00+0000,DOW,0.0,datos_limpios
42.7,42.796,40.38,41.17,41.17,2020-06-18T00:00:00+0000,DOW,0.0,datos_limpios
42.61,42.95,40.38,41.58,41.58,2020-06-19T00:00:00+0000,DOW,0.0,datos_limpios
41.315,42.12,40.695,41.65,41.65,2020-06-22T00:00:00+0000,DOW,0.0,datos_limpios
42.39,42.39,40.67,41.74,41.74,2020-06-23T00:00:00+0000,DOW,0.0,datos_limpios
42.48,42.48,38.355,41.35,41.35,2020-06-24T00:00:00+0000,DOW,0.0,datos_limpios
40.6,40.72,37.735,38.45,38.45,2020-06-25T00:00:00+0000,DOW,0.0,datos_limpios
39.53,40.03,37.68,39.98,39.98,2020-06-26T00:00:00+0000,DOW,0.0,datos_limpios
40.54,41.19,39.8,39.8,39.8,2020-06-29T00:00:00+0000,DOW,0.0,datos_limpios
40.71,41.195,39.79,40.98,40.98,2020-06-30T00:00:00+0000,DOW,0.0,datos_limpios
40.78,41.3,39.76,40.76,40.76,2020-07-01T00:00:00+0000,DOW,0.0,datos_limpios
41.73,42.225,40.33,40.75,40.75,2020-07-02T00:00:00+0000,DOW,0.0,datos_limpios
42.73,42.76,41.56,41.59,41.59,2020-07-06T00:00:00+0000,DOW,0.0,datos_limpios
42.63,42.78,41.17,42.45,42.45,2020-07-07T00:00:00+0000,DOW,0.0,datos_limpios
41.74,42.07,39.635,41.69,41.69,2020-07-08T00:00:00+0000,DOW,0.0,datos_limpios
41.49,41.78,39.17,40.35,40.35,2020-07-09T00:00:00+0000,DOW,0.0,datos_limpios
40.39,40.815,39.17,39.44,39.44,2020-07-10T00:00:00+0000,DOW,0.0,datos_limpios
41.09,41.84,40.5,40.76,40.76,2020-07-13T00:00:00+0000,DOW,0.0,datos_limpios
41.34,42.67,40.5,41.24,41.24,2020-07-14T00:00:00+0000,DOW,0.0,datos_limpios
43.95,44.08,42.44,42.44,42.44,2020-07-15T00:00:00+0000,DOW,0.0,datos_limpios
43.65,44.265,42.56,43.33,43.33,2020-07-16T00:00:00+0000,DOW,0.0,datos_limpios
44.135,44.26,42.84,43.83,43.83,2020-07-17T00:00:00+0000,DOW,0.0,datos_limpios
43.345,43.675,42.125,43.67,43.67,2020-07-20T00:00:00+0000,DOW,0.0,datos_limpios
43.34,43.68,42.12,42.3,42.3,2020-07-21T00:00:00+0000,DOW,0.0,datos_limpios
42.885,44.47,42.45,43.04,43.04,2020-07-22T00:00:00+0000,DOW,0.0,datos_limpios
42.94,44.5,41.915,44.34,44.34,2020-07-23T00:00:00+0000,DOW,0.0,datos_limpios
43.0,43.465,41.88,42.82,42.82,2020-07-24T00:00:00+0000,DOW,0.0,datos_limpios
42.855,44.465,42.55,42.61,42.61,2020-07-27T00:00:00+0000,DOW,0.0,datos_limpios
