open,high,low,last,close,date,symbol,stock_splits,estado
234.78,235.13,233.61,234.78,234.78,2018-06-11T00:00:00+0000,GS,0.0,datos_limpios
234.87,235.23,231.97,232.635,232.635,2018-06-12T00:00:00+0000,GS,0.0,datos_limpios
236.27,238.085,232.635,233.89,233.89,2018-06-13T00:00:00+0000,GS,0.0,datos_limpios
235.72,235.72,232.59,233.61,233.61,2018-06-14T00:00:00+0000,GS,0.0,datos_limpios
233.61,233.61,229.91,231.95,231.95,2018-06-15T00:00:00+0000,GS,0.0,datos_limpios
230.85,231.67,229.19,231.385,231.385,2018-06-18T00:00:00+0000,GS,0.0,datos_limpios
231.385,231.385,226.19,228.195,228.195,2018-06-19T00:00:00+0000,GS,0.0,datos_limpios
229.53,229.82,226.99,228.13,228.13,2018-06-20T00:00:00+0000,GS,0.0,datos_limpios
228.325,228.39,224.68,227.51,227.51,2018-06-21T00:00:00+0000,GS,0.0,datos_limpios
230.16,230.41,225.73,225.88,225.88,2018-06-22T00:00:00+0000,GS,0.0,datos_limpios
225.88,225.88,220.42,221.7,221.7,2018-06-25T00:00:00+0000,GS,0.0,datos_limpios
222.62,222.69,219.24,221.7,221.7,2018-06-26T00:00:00+0000,GS,0.0,datos_limpios
224.97,225.39,220.17,220.27,220.27,2018-06-27T00:00:00+0000,GS,0.0,datos_limpios
224.53,224.62,219.96,223.64,223.64,2018-06-28T00:00:00+0000,GS,0.0,datos_limpios
224.85,224.95,220.65,220.68,220.68,2018-06-29T00:00:00+0000,GS,0.0,datos_limpios
222.86,223.29,219.14,221.82,221.82,2018-07-02T00:00:00+0000,GS,0.0,datos_limpios
224.55,224.55,220.0,220.38,220.38,2018-07-03T00:00:00+0000,GS,0.0,datos_limpios
221.54,221.82,219.91,220.7,220.7,2018-07-05T00:00:00+0000,GS,0.0,datos_limpios
222.84,223.11,220.03,221.85,221.85,2018-07-06T00:00:00+0000,GS,0.0,datos_limpios
228.09,228.15,223.07,227.95,227.95,2018-07-09T00:00:00+0000,GS,0.0,datos_limpios
228.22,228.64,225.94,228.22,228.22,2018-07-10T00:00:00+0000,GS,0.0,datos_limpios
226.85,227.16,225.33,225.7,225.7,2018-07-11T00:00:00+0000,GS,0.0,datos_limpios
227.48,227.77,225.66,226.62,226.62,2018-07-12T00:00:00+0000,GS,0.0,datos_limpios
228.45,228.45,224.06,226.3,226.3,2018-07-13T00:00:00+0000,GS,0.0,datos_limpios
230.43,231.25,226.95,231.125,231.125,2018-07-16T00:00:00+0000,GS,0.0,datos_limpios
231.965,232.83,226.97,230.985,230.985,2018-07-17T00:00:00+0000,GS,0.0,datos_limpios
233.13,233.7,230.2,231.25,231.25,2018-07-18T00:00:00+0000,GS,0.0,datos_limpios
231.24,231.99,228.98,230.61,230.61,2018-07-19T00:00:00+0000,GS,0.0,datos_limpios
231.84,232.0,228.8,231.68,231.68,2018-07-20T00:00:00+0000,GS,0.0,datos_limpios
234.32,234.805,231.875,234.29,234.29,2018-07-23T00:00:00+0000,GS,0.0,datos_limpios
237.24,237.45,233.76,235.89,235.89,2018-07-24T00:00:00+0000,GS,0.0,datos_limpios
235.93,236.82,233.975,234.66,234.66,2018-07-25T00:00:00+0000,GS,0.0,datos_limpios
237.8,238.25,236.48,237.01,237.01,2018-07-26T00:00:00+0000,GS,0.0,datos_limpios
238.74,238.78,236.05,237.81,237.81,2018-07-27T00:00:00+0000,GS,0.0,datos_limpios
239.615,239.72,236.91,238.9,238.9,2018-07-30T00:00:00+0000,GS,0.0,datos_limpios
239.28,239.3,236.7,237.59,237.59,2018-07-31T00:00:00+0000,GS,0.0,datos_limpios
238.725,239.3,235.795,236.65,236.65,2018-08-01T00:00:00+0000,GS,0.0,datos_limpios
236.02,236.02,233.08,234.51,234.51,2018-08-02T00:00:00+0000,GS,0.0,datos_limpios
235.22,235.51,233.495,233.94,233.94,2018-08-03T00:00:00+0000,GS,0.0,datos_limpios
236.6,236.985,234.065,235.87,235.87,2018-08-06T00:00:00+0000,GS,0.0,datos_limpios
239.24,239.45,235.93,239.11,239.11,2018-08-07T00:00:00+0000,GS,0.0,datos_limpios
238.845,239.1,236.35,236.35,236.35,2018-08-08T00:00:00+0000,GS,0.0,datos_limpios
236.37,236.83,233.41,233.745,233.745,2018-08-09T00:00:00+0000,GS,0.0,datos_limpios
233.745,233.745,228.16,229.64,229.64,2018-08-10T00:00:00+0000,GS,0.0,datos_limpios
229.64,229.78,226.58,227.14,227.14,2018-08-13T00:00:00+0000,GS,0.0,datos_limpios
230.22,230.33,226.86,229.54,229.54,2018-08-14T00:00:00+0000,GS,0.0,datos_limpios
230.26,231.52,228.6,229.11,229.11,2018-08-15T00:00:00+0000,GS,0.0,datos_limpios
233.035,233.07,229.25,232.54,232.54,2018-08-16T00:00:00+0000,GS,0.0,datos_limpios
233.63,233.71,231.74,233.44,233.44,2018-08-17T00:00:00+0000,GS,0.0,datos_limpios
235.84,235.95,233.38,235.04,235.04,2018-08-20T00:00:00+0000,GS,0.0,datos_limpios
239.27,239.53,235.78,238.58,238.58,2018-08-21T00:00:00+0000,GS,0.0,datos_limpios
239.43,239.52,237.98,239.34,239.34,2018-08-22T00:00:00+0000,GS,0.0,datos_limpios
239.34,239.34,235.875,236.355,236.355,2018-08-23T00:00:00+0000,GS,0.0,datos_limpios
236.72,237.38,234.735,235.06,235.06,2018-08-24T00:00:00+0000,GS,0.0,datos_limpios
243.4,243.62,237.29,242.63,242.63,2018-08-27T00:00:00+0000,GS,0.0,datos_limpios
244.95,245.065,241.61,242.42,242.42,2018-08-28T00:00:00+0000,GS,0.0,datos_limpios
242.54,242.75,240.42,241.4,241.4,2018-08-29T00:00:00+0000,GS,0.0,datos_limpios
241.4,241.4,238.72,239.4,239.4,2018-08-30T00:00:00+0000,GS,0.0,datos_limpios
239.4,239.4,237.28,238.21,238.21,2018-08-31T00:00:00+0000,GS,0.0,datos_limpios
237.81,237.945,234.71,237.715,237.715,2018-09-04T00:00:00+0000,GS,0.0,datos_limpios
238.92,239.26,237.135,237.56,237.56,2018-09-05T00:00:00+0000,GS,0.0,datos_limpios
238.27,238.52,233.91,234.64,234.64,2018-09-06T00:00:00+0000,GS,0.0,datos_limpios
235.11,235.6,232.68,233.96,233.96,2018-09-07T00:00:00+0000,GS,0.0,datos_limpios
234.5,235.185,231.735,231.88,231.88,2018-09-10T00:00:00+0000,GS,0.0,datos_limpios
231.91,231.91,228.73,230.255,230.255,2018-09-11T00:00:00+0000,GS,0.0,datos_limpios
230.6,231.88,227.355,228.1,228.1,2018-09-12T00:00:00+0000,GS,0.0,datos_limpios
229.54,229.75,227.615,227.99,227.99,2018-09-13T00:00:00+0000,GS,0.0,datos_limpios
230.04,230.49,228.33,229.7,229.7,2018-09-14T00:00:00+0000,GS,0.0,datos_limpios
229.23,229.93,227.315,227.73,227.73,2018-09-17T00:00:00+0000,GS,0.0,datos_limpios
229.05,229.34,226.61,228.97,228.97,2018-09-18T00:00:00+0000,GS,0.0,datos_limpios
236.07,236.28,228.89,235.575,235.575,2018-09-19T00:00:00+0000,GS,0.0,datos_limpios
237.63,238.49,235.575,237.43,237.43,2018-09-20T00:00:00+0000,GS,0.0,datos_limpios
238.245,238.245,234.9,235.42,235.42,2018-09-21T00:00:00+0000,GS,0.0,datos_limpios
234.695,235.74,232.3,232.89,232.89,2018-09-24T00:00:00+0000,GS,0.0,datos_limpios
233.24,234.075,232.22,232.47,232.47,2018-09-25T00:00:00+0000,GS,0.0,datos_limpios
232.715,232.9,228.24,228.78,228.78,2018-09-26T00:00:00+0000,GS,0.0,datos_limpios
229.4,229.71,227.52,227.75,227.75,2018-09-27T00:00:00+0000,GS,0.0,datos_limpios
227.75,227.75,223.83,224.355,224.355,2018-09-28T00:00:00+0000,GS,0.0,datos_limpios
226.97,227.46,225.05,225.57,225.57,2018-10-01T00:00:00+0000,GS,0.0,datos_limpios
225.51,226.335,224.1,224.88,224.88,2018-10-02T00:00:00+0000,GS,0.0,datos_limpios
229.24,229.75,226.07,227.94,227.94,2018-10-03T00:00:00+0000,GS,0.0,datos_limpios
230.91,231.29,225.46,227.58,227.58,2018-10-04T00:00:00+0000,GS,0.0,datos_limpios
227.65,228.34,224.24,225.64,225.64,2018-10-05T00:00:00+0000,GS,0.0,datos_limpios
225.71,226.74,222.78,225.58,225.58,2018-10-08T00:00:00+0000,GS,0.0,datos_limpios
225.5,225.5,222.69,222.93,222.93,2018-10-09T00:00:00+0000,GS,0.0,datos_limpios
222.93,222.93,215.0,222.93,222.93,2018-10-10T00:00:00+0000,GS,0.0,datos_limpios
215.72,215.95,211.25,214.5,214.5,2018-10-11T00:00:00+0000,GS,0.0,datos_limpios
216.95,217.65,211.57,212.37,212.37,2018-10-12T00:00:00+0000,GS,0.0,datos_limpios
216.91,217.0,213.29,215.45,215.45,2018-10-15T00:00:00+0000,GS,0.0,datos_limpios
221.41,221.97,215.22,215.22,215.22,2018-10-16T00:00:00+0000,GS,0.0,datos_limpios
228.72,228.86,220.345,228.265,228.265,2018-10-17T00:00:00+0000,GS,0.0,datos_limpios
228.265,228.65,223.97,224.94,224.94,2018-10-18T00:00:00+0000,GS,0.0,datos_limpios
228.08,228.3,224.02,226.91,226.91,2018-10-19T00:00:00+0000,GS,0.0,datos_limpios
227.25,228.75,221.54,221.54,221.54,2018-10-22T00:00:00+0000,GS,0.0,datos_limpios
221.54,221.54,214.33,218.47,218.47,2018-10-23T00:00:00+0000,GS,0.0,datos_limpios
218.47,218.58,208.55,209.25,209.25,2018-10-24T00:00:00+0000,GS,0.0,datos_limpios
215.29,215.53,209.18,213.88,213.88,2018-10-25T00:00:00+0000,GS,0.0,datos_limpios
214.565,214.715,209.6,212.32,212.32,2018-10-26T00:00:00+0000,GS,0.0,datos_limpios
218.14,218.14,212.2,214.47,214.47,2018-10-29T00:00:00+0000,GS,0.0,datos_limpios
219.7,220.22,214.49,219.29,219.29,2018-10-30T00:00:00+0000,GS,0.0,datos_limpios
