open,high,low,last,close,date,symbol,stock_splits,estado
245.2,248.59,244.85,245.14,245.14,2020-05-29T00:00:00+0000,HD,0.0,datos_limpios
249.51,249.51,245.91,248.48,248.48,2020-06-01T00:00:00+0000,HD,0.0,datos_limpios
249.41,251.24,245.87,247.29,247.29,2020-06-02T00:00:00+0000,HD,0.0,datos_limpios
249.53,252.16,247.49,251.0,251.0,2020-06-04T00:00:00+0000,HD,0.0,datos_limpios
250.82,255.71,247.47,248.95,248.95,2020-06-05T00:00:00+0000,HD,0.0,datos_limpios
252.91,256.81,252.35,254.9,254.9,2020-06-08T00:00:00+0000,HD,0.0,datos_limpios
255.28,258.17,252.26,256.77,256.77,2020-06-09T00:00:00+0000,HD,0.0,datos_limpios
255.33,258.29,253.86,256.77,256.77,2020-06-10T00:00:00+0000,HD,0.0,datos_limpios
237.32,242.02,234.35,242.45,242.45,2020-06-15T00:00:00+0000,HD,0.0,datos_limpios
249.315,251.5,234.31,241.36,241.36,2020-06-16T00:00:00+0000,HD,0.0,datos_limpios
251.96,254.515,242.87,249.95,249.95,2020-06-17T00:00:00+0000,HD,0.0,datos_limpios
252.77,254.62,247.24,250.85,250.85,2020-06-18T00:00:00+0000,HD,0.0,datos_limpios
253.125,254.16,246.39,249.21,249.21,2020-06-19T00:00:00+0000,HD,0.0,datos_limpios
245.63,250.02,245.51,246.65,246.65,2020-06-22T00:00:00+0000,HD,0.0,datos_limpios
252.7,253.36,245.51,249.16,249.16,2020-06-23T00:00:00+0000,HD,0.0,datos_limpios
253.0,253.44,242.78,250.31,250.31,2020-06-24T00:00:00+0000,HD,0.0,datos_limpios
247.81,250.2873,242.215,246.13,246.13,2020-06-25T00:00:00+0000,HD,0.0,datos_limpios
245.13,246.35,240.25,245.38,245.38,2020-06-26T00:00:00+0000,HD,0.0,datos_limpios
240.66,246.46,240.66,241.01,241.01,2020-06-29T00:00:00+0000,HD,0.0,datos_limpios
246.89,251.65,240.3401,246.12,246.12,2020-06-30T00:00:00+0000,HD,0.0,datos_limpios
249.47,251.65,246.09,250.51,250.51,2020-07-01T00:00:00+0000,HD,0.0,datos_limpios
251.66,252.28,246.93,248.15,248.15,2020-07-02T00:00:00+0000,HD,0.0,datos_limpios
250.4,251.33,247.04,248.5,248.5,2020-07-06T00:00:00+0000,HD,0.0,datos_limpios
250.27,251.5,247.04,249.55,249.55,2020-07-07T00:00:00+0000,HD,0.0,datos_limpios
247.975,250.78,246.36,247.35,247.35,2020-07-08T00:00:00+0000,HD,0.0,datos_limpios
249.625,250.36,246.22,249.17,249.17,2020-07-09T00:00:00+0000,HD,0.0,datos_limpios
249.66,250.51,246.35,247.96,247.96,2020-07-10T00:00:00+0000,HD,0.0,datos_limpios
251.98,257.855,249.13,250.11,250.11,2020-07-13T00:00:00+0000,HD,0.0,datos_limpios
251.92,258.115,248.51,249.62,249.62,2020-07-14T00:00:00+0000,HD,0.0,datos_limpios
260.695,261.25,248.46,257.79,257.79,2020-07-15T00:00:00+0000,HD,0.0,datos_limpios
260.14,261.29,255.15,257.8,257.8,2020-07-16T00:00:00+0000,HD,0.0,datos_limpios
259.63,260.65,256.0,258.08,258.08,2020-07-17T00:00:00+0000,HD,0.0,datos_limpios
259.615,261.17,258.07,260.38,260.38,2020-07-20T00:00:00+0000,HD,0.0,datos_limpios
261.465,263.83,258.02,260.17,260.17,2020-07-21T00:00:00+0000,HD,0.0,datos_limpios
262.565,265.53,260.72,262.42,262.42,2020-07-22T00:00:00+0000,HD,0.0,datos_limpios
267.21,267.74,261.84,265.17,265.17,2020-07-23T00:00:00+0000,HD,0.0,datos_limpios
267.8,267.8,261.8,263.81,263.81,2020-07-24T00:00:00+0000,HD,0.0,datos_limpios
265.55,268.65,265.31,265.31,265.31,2020-07-27T00:00:00+0000,HD,0.0,datos_limpios
268.475,268.87,264.8,267.42,267.42,2020-07-28T00:00:00+0000,HD,0.0,datos_limpios
268.56,269.07,264.205,265.28,265.28,2020-07-29T00:00:00+0000,HD,0.0,datos_limpios
264.8,267.3,261.62,264.66,264.66,2020-07-30T00:00:00+0000,HD,0.0,datos_limpios
265.28,267.345,260.95,266.31,266.31,2020-07-31T00:00:00+0000,HD,0.0,datos_limpios
266.585,268.435,265.49,265.49,265.49,2020-08-03T00:00:00+0000,HD,0.0,datos_limpios
266.73,268.58,263.95,266.18,266.18,2020-08-04T00:00:00+0000,HD,0.0,datos_limpios
268.01,268.32,263.84,267.87,267.87,2020-08-05T00:00:00+0000,HD,0.0,datos_limpios
268.39,270.44,265.89,267.48,267.48,2020-08-06T00:00:00+0000,HD,0.0,datos_limpios
270.675,274.875,266.53,269.37,269.37,2020-08-07T00:00:00+0000,HD,0.0,datos_limpios
272.37,274.995,271.64,271.64,271.64,2020-08-10T00:00:00+0000,HD,0.0,datos_limpios
277.89,279.26,271.795,274.73,274.73,2020-08-11T00:00:00+0000,HD,0.0,datos_limpios
279.23,282.94,274.41,274.92,274.92,2020-08-12T00:00:00+0000,HD,0.0,datos_limpios
281.02,282.9673,276.96,281.58,281.58,2020-08-13T00:00:00+0000,HD,0.0,datos_limpios
281.485,282.655,279.205,281.66,281.66,2020-08-14T00:00:00+0000,HD,0.0,datos_limpios
284.43,289.21,280.55,280.55,280.55,2020-08-17T00:00:00+0000,HD,0.0,datos_limpios
288.9,290.405,283.415,288.24,288.24,2020-08-18T00:00:00+0000,HD,0.0,datos_limpios
288.9,290.58,281.995,285.0,285.0,2020-08-19T00:00:00+0000,HD,0.0,datos_limpios
287.46,287.97,279.685,282.86,282.86,2020-08-20T00:00:00+0000,HD,0.0,datos_limpios
280.535,283.455,278.475,280.68,280.68,2020-08-21T00:00:00+0000,HD,0.0,datos_limpios
284.55,286.79,282.07,283.23,283.23,2020-08-24T00:00:00+0000,HD,0.0,datos_limpios
287.295,287.43,281.9223,286.75,286.75,2020-08-25T00:00:00+0000,HD,0.0,datos_limpios
287.37,292.09,283.885,286.13,286.13,2020-08-26T00:00:00+0000,HD,0.0,datos_limpios
292.195,292.84,286.275,291.93,291.93,2020-08-27T00:00:00+0000,HD,0.0,datos_limpios
292.22,292.95,284.88,288.63,288.63,2020-08-28T00:00:00+0000,HD,0.0,datos_limpios
286.255,286.36,283.07,286.29,286.29,2020-08-31T00:00:00+0000,HD,0.0,datos_limpios
285.0,286.69,282.87,285.04,285.04,2020-09-01T00:00:00+0000,HD,0.0,datos_limpios
286.5,286.68,283.5,285.94,285.94,2020-09-02T00:00:00+0000,HD,0.0,datos_limpios
287.345,288.04,272.25,287.2,287.2,2020-09-03T00:00:00+0000,HD,0.0,datos_limpios
287.3,287.7,264.9,274.63,274.63,2020-09-04T00:00:00+0000,HD,0.0,datos_limpios
267.67,270.975,262.89,269.66,269.66,2020-09-08T00:00:00+0000,HD,0.0,datos_limpios
271.87,279.67,262.81,269.26,269.26,2020-09-09T00:00:00+0000,HD,0.0,datos_limpios
278.74,280.89,271.75,277.04,277.04,2020-09-10T00:00:00+0000,HD,0.0,datos_limpios
278.01,280.98,271.17,272.7,272.7,2020-09-11T00:00:00+0000,HD,0.0,datos_limpios
278.46,282.4,276.33,276.33,276.33,2020-09-14T00:00:00+0000,HD,0.0,datos_limpios
283.72,286.67,278.015,280.65,280.65,2020-09-15T00:00:00+0000,HD,0.0,datos_limpios
285.815,286.35,280.71,285.58,285.58,2020-09-16T00:00:00+0000,HD,0.0,datos_limpios
285.61,286.58,276.96,281.63,281.63,2020-09-17T00:00:00+0000,HD,0.0,datos_limpios
277.91,282.72,270.89,279.96,279.96,2020-09-18T00:00:00+0000,HD,0.0,datos_limpios
