open,high,low,last,close,date,symbol,stock_splits,estado
123.56,123.56,122.24,124.53,124.53,2020-05-29T00:00:00+0000,IBM,0.0,datos_limpios
124.68,125.375,124.085,124.9,124.9,2020-06-01T00:00:00+0000,IBM,0.0,datos_limpios
125.55,125.89,124.03,124.89,124.89,2020-06-02T00:00:00+0000,IBM,0.0,datos_limpios
127.79,128.93,127.045,129.05,129.05,2020-06-04T00:00:00+0000,IBM,0.0,datos_limpios
133.07,134.18,127.02,128.89,128.89,2020-06-05T00:00:00+0000,IBM,0.0,datos_limpios
132.41,135.85,132.06,132.06,132.06,2020-06-08T00:00:00+0000,IBM,0.0,datos_limpios
133.49,135.88,131.035,135.75,135.75,2020-06-09T00:00:00+0000,IBM,0.0,datos_limpios
133.52,133.6,131.02,135.75,135.75,2020-06-10T00:00:00+0000,IBM,0.0,datos_limpios
119.19,122.32,118.385,121.91,121.91,2020-06-15T00:00:00+0000,IBM,0.0,datos_limpios
125.05,127.475,118.29,121.65,121.65,2020-06-16T00:00:00+0000,IBM,0.0,datos_limpios
125.58,127.5,123.16,125.15,125.15,2020-06-17T00:00:00+0000,IBM,0.0,datos_limpios
125.83,126.25,122.6,124.15,124.15,2020-06-18T00:00:00+0000,IBM,0.0,datos_limpios
126.5,126.81,122.33,124.16,124.16,2020-06-19T00:00:00+0000,IBM,0.0,datos_limpios
122.01,122.42,120.55,122.47,122.47,2020-06-22T00:00:00+0000,IBM,0.0,datos_limpios
122.165,122.83,119.23,121.07,121.07,2020-06-23T00:00:00+0000,IBM,0.0,datos_limpios
122.01,122.9,115.91,119.41,119.41,2020-06-24T00:00:00+0000,IBM,0.0,datos_limpios
118.32,119.205,115.88,116.42,116.42,2020-06-25T00:00:00+0000,IBM,0.0,datos_limpios
118.11,119.21,116.1,119.03,119.03,2020-06-26T00:00:00+0000,IBM,0.0,datos_limpios
117.57,119.765,117.19,117.19,117.19,2020-06-29T00:00:00+0000,IBM,0.0,datos_limpios
119.295,121.18,117.37,119.75,119.75,2020-06-30T00:00:00+0000,IBM,0.0,datos_limpios
120.84,121.21,118.38,120.77,120.77,2020-07-01T00:00:00+0000,IBM,0.0,datos_limpios
120.27,121.41,118.37,118.54,118.54,2020-07-02T00:00:00+0000,IBM,0.0,datos_limpios
121.51,121.74,119.475,119.7,119.7,2020-07-06T00:00:00+0000,IBM,0.0,datos_limpios
121.25,121.85,117.345,120.19,120.19,2020-07-07T00:00:00+0000,IBM,0.0,datos_limpios
119.0,119.51,116.485,117.58,117.58,2020-07-08T00:00:00+0000,IBM,0.0,datos_limpios
118.06,118.64,115.2,117.71,117.71,2020-07-09T00:00:00+0000,IBM,0.0,datos_limpios
118.0,118.505,115.2,115.71,115.71,2020-07-10T00:00:00+0000,IBM,0.0,datos_limpios
119.73,120.98,118.35,118.35,118.35,2020-07-13T00:00:00+0000,IBM,0.0,datos_limpios
119.78,120.99,118.0,119.2,119.2,2020-07-14T00:00:00+0000,IBM,0.0,datos_limpios
122.24,123.955,117.92,120.6,120.6,2020-07-15T00:00:00+0000,IBM,0.0,datos_limpios
122.59,124.455,122.15,123.0,123.0,2020-07-16T00:00:00+0000,IBM,0.0,datos_limpios
124.145,125.615,122.16,124.01,124.01,2020-07-17T00:00:00+0000,IBM,0.0,datos_limpios
126.035,135.14,125.11,125.11,125.11,2020-07-20T00:00:00+0000,IBM,0.0,datos_limpios
132.7,132.7,125.84,126.37,126.37,2020-07-21T00:00:00+0000,IBM,0.0,datos_limpios
131.16,132.17,125.8,126.06,126.06,2020-07-22T00:00:00+0000,IBM,0.0,datos_limpios
129.0,129.47,125.8,128.67,128.67,2020-07-23T00:00:00+0000,IBM,0.0,datos_limpios
129.1,129.37,125.51,127.33,127.33,2020-07-24T00:00:00+0000,IBM,0.0,datos_limpios
125.17,126.27,124.885,125.79,125.79,2020-07-27T00:00:00+0000,IBM,0.0,datos_limpios
126.0,126.32,124.195,126.21,126.21,2020-07-28T00:00:00+0000,IBM,0.0,datos_limpios
125.82,126.34,124.135,124.47,124.47,2020-07-29T00:00:00+0000,IBM,0.0,datos_limpios
124.56,125.99,121.72,125.32,125.32,2020-07-30T00:00:00+0000,IBM,0.0,datos_limpios
123.71,123.9046,121.1,122.9,122.9,2020-07-31T00:00:00+0000,IBM,0.0,datos_limpios
123.42,124.41,122.29,122.94,122.94,2020-08-03T00:00:00+0000,IBM,0.0,datos_limpios
123.88,125.785,122.15,124.31,124.31,2020-08-04T00:00:00+0000,IBM,0.0,datos_limpios
126.7,126.75,123.82,125.84,125.84,2020-08-05T00:00:00+0000,IBM,0.0,datos_limpios
126.73,126.75,124.61,125.45,125.45,2020-08-06T00:00:00+0000,IBM,0.0,datos_limpios
125.0,126.26,123.24,126.12,126.12,2020-08-07T00:00:00+0000,IBM,0.0,datos_limpios
125.3,127.24,124.96,124.96,124.96,2020-08-10T00:00:00+0000,IBM,0.0,datos_limpios
128.685,130.47,125.1849,127.11,127.11,2020-08-11T00:00:00+0000,IBM,0.0,datos_limpios
128.76,130.47,125.885,126.75,126.75,2020-08-12T00:00:00+0000,IBM,0.0,datos_limpios
127.61,127.79,124.8,126.7,126.7,2020-08-13T00:00:00+0000,IBM,0.0,datos_limpios
125.96,126.39,123.995,125.03,125.03,2020-08-14T00:00:00+0000,IBM,0.0,datos_limpios
125.235,125.545,124.425,125.27,125.27,2020-08-17T00:00:00+0000,IBM,0.0,datos_limpios
125.25,125.59,124.285,124.44,124.44,2020-08-18T00:00:00+0000,IBM,0.0,datos_limpios
125.0,125.5,123.52,124.92,124.92,2020-08-19T00:00:00+0000,IBM,0.0,datos_limpios
124.83,125.5,122.52,123.84,123.84,2020-08-20T00:00:00+0000,IBM,0.0,datos_limpios
123.245,124.04,122.375,123.15,123.15,2020-08-21T00:00:00+0000,IBM,0.0,datos_limpios
123.72,126.04,123.16,123.16,123.16,2020-08-24T00:00:00+0000,IBM,0.0,datos_limpios
125.965,126.82,123.36,125.68,125.68,2020-08-25T00:00:00+0000,IBM,0.0,datos_limpios
126.0,126.82,123.96,124.64,124.64,2020-08-26T00:00:00+0000,IBM,0.0,datos_limpios
124.95,125.12,123.95,124.17,124.17,2020-08-27T00:00:00+0000,IBM,0.0,datos_limpios
124.97,125.29,123.98,124.65,124.65,2020-08-28T00:00:00+0000,IBM,0.0,datos_limpios
124.93,124.975,123.05,125.07,125.07,2020-08-31T00:00:00+0000,IBM,0.0,datos_limpios
125.25,125.25,122.26,123.31,123.31,2020-09-01T00:00:00+0000,IBM,0.0,datos_limpios
127.61,127.685,122.15,123.4,123.4,2020-09-02T00:00:00+0000,IBM,0.0,datos_limpios
128.39,129.87,123.575,128.18,128.18,2020-09-03T00:00:00+0000,IBM,0.0,datos_limpios
128.19,129.95,121.24,124.45,124.45,2020-09-04T00:00:00+0000,IBM,0.0,datos_limpios
122.33,122.86,120.84,122.3,122.3,2020-09-08T00:00:00+0000,IBM,0.0,datos_limpios
122.16,123.67,120.71,121.21,121.21,2020-09-09T00:00:00+0000,IBM,0.0,datos_limpios
122.53,123.7,121.29,122.26,122.26,2020-09-10T00:00:00+0000,IBM,0.0,datos_limpios
122.53,123.5764,120.24,120.56,120.56,2020-09-11T00:00:00+0000,IBM,0.0,datos_limpios
121.96,123.35,121.46,121.46,121.46,2020-09-14T00:00:00+0000,IBM,0.0,datos_limpios
122.73,123.38,121.76,122.09,122.09,2020-09-15T00:00:00+0000,IBM,0.0,datos_limpios
123.195,125.82,122.44,122.44,122.44,2020-09-16T00:00:00+0000,IBM,0.0,datos_limpios
122.71,125.82,122.08,124.22,124.22,2020-09-17T00:00:00+0000,IBM,0.0,datos_limpios
124.71,125.55,121.97,124.92,124.92,2020-09-18T00:00:00+0000,IBM,0.0,datos_limpios
120.465,120.7,118.59,122.76,122.76,2020-09-21T00:00:00+0000,IBM,0.0,datos_limpios
120.48,121.445,118.58,120.25,120.25,2020-09-22T00:00:00+0000,IBM,0.0,datos_limpios
120.705,121.575,118.44,120.51,120.51,2020-09-23T00:00:00+0000,IBM,0.0,datos_limpios
120.8,121.59,116.495,118.83,118.83,2020-09-24T00:00:00+0000,IBM,0.0,datos_limpios
118.1,119.515,116.48,118.09,118.09,2020-09-25T00:00:00+0000,IBM,0.0,datos_limpios
120.58,122.31,118.95,118.95,118.95,2020-09-28T00:00:00+0000,IBM,0.0,datos_limpios
121.195,122.33,120.22,121.73,121.73,2020-09-29T00:00:00+0000,IBM,0.0,datos_limpios
121.41,122.905,120.21,120.94,120.94,2020-09-30T00:00:00+0000,IBM,0.0,datos_limpios
122.32,123.275,120.355,121.67,121.67,2020-10-01T00:00:00+0000,IBM,0.0,datos_limpios
122.36,123.3,118.84,121.09,121.09,2020-10-02T00:00:00+0000,IBM,0.0,datos_limpios
121.7,122.71,120.57,120.57,120.57,2020-10-05T00:00:00+0000,IBM,0.0,datos_limpios
122.4,124.835,121.05,122.01,122.01,2020-10-06T00:00:00+0000,IBM,0.0,datos_limpios
122.63,124.83,121.59,121.97,121.97,2020-10-07T00:00:00+0000,IBM,0.0,datos_limpios
138.9,138.9,124.07,124.07,124.07,2020-10-08T00:00:00+0000,IBM,0.0,datos_limpios
131.915,135.5,127.61,131.49,131.49,2020-10-09T00:00:00+0000,IBM,0.0,datos_limpios
128.07,128.22,126.45,127.79,127.79,2020-10-12T00:00:00+0000,IBM,0.0,datos_limpios
128.07,128.25,124.475,127.21,127.21,2020-10-13T00:00:00+0000,IBM,0.0,datos_limpios
126.57,127.15,124.46,125.1,125.1,2020-10-14T00:00:00+0000,IBM,0.0,datos_limpios
125.13,126.94,123.81,125.94,125.94,2020-10-15T00:00:00+0000,IBM,0.0,datos_limpios
125.32,126.42,123.85,124.89,124.89,2020-10-16T00:00:00+0000,IBM,0.0,datos_limpios
127.3,127.3,125.08,126.12,126.12,2020-10-19T00:00:00+0000,IBM,0.0,datos_limpios
125.495,125.495,116.84,117.41,117.41,2020-10-20T00:00:00+0000,IBM,0.0,datos_limpios
117.625,117.68,114.82,115.68,115.68,2020-10-21T00:00:00+0000,IBM,0.0,datos_limpios
116.66,117.6899,112.99,115.06,115.06,2020-10-22T00:00:00+0000,IBM,0.0,datos_limpios
116.545,116.595,112.98,115.76,115.76,2020-10-23T00:00:00+0000,IBM,0.0,datos_limpios
114.76,114.81,111.84,116.0,116.0,2020-10-26T00:00:00+0000,IBM,0.0,datos_limpios
114.45,114.9,110.03,112.22,112.22,2020-10-27T00:00:00+0000,IBM,0.0,datos_limpios
110.54,110.54,105.91,110.56,110.56,2020-10-28T00:00:00+0000,IBM,0.0,datos_limpios
107.48,109.635,106.55,106.65,106.65,2020-10-29T00:00:00+0000,IBM,0.0,datos_limpios
107.96,111.8,106.55,108.91,108.91,2020-10-30T00:00:00+0000,IBM,0.0,datos_limpios
112.76,113.815,111.66,111.66,111.66,2020-11-02T00:00:00+0000,IBM,0.0,datos_limpios
113.9,115.625,112.25,112.91,112.91,2020-11-03T00:00:00+0000,IBM,0.0,datos_limpios
114.0,115.65,111.155,114.16,114.16,2020-11-04T00:00:00+0000,IBM,0.0,datos_limpios
