open,high,low,last,close,date,symbol,stock_splits,estado
56.185,56.195,55.62,55.9,55.9,2018-06-07T00:00:00+0000,INTC,0.0,datos_limpios
55.9,55.9,54.68,55.005,55.005,2018-06-08T00:00:00+0000,INTC,0.0,datos_limpios
54.775,55.08,54.26,54.5,54.5,2018-06-11T00:00:00+0000,INTC,0.0,datos_limpios
54.935,54.97,54.225,54.82,54.82,2018-06-12T00:00:00+0000,INTC,0.0,datos_limpios
55.66,55.69,54.82,54.995,54.995,2018-06-13T00:00:00+0000,INTC,0.0,datos_limpios
55.67,55.85,54.995,55.475,55.475,2018-06-14T00:00:00+0000,INTC,0.0,datos_limpios
55.545,55.545,54.6,55.1,55.1,2018-06-15T00:00:00+0000,INTC,0.0,datos_limpios
54.175,54.19,52.345,53.215,53.215,2018-06-18T00:00:00+0000,INTC,0.0,datos_limpios
53.215,53.215,51.915,52.91,52.91,2018-06-19T00:00:00+0000,INTC,0.0,datos_limpios
53.68,53.73,52.705,53.475,53.475,2018-06-20T00:00:00+0000,INTC,0.0,datos_limpios
54.455,54.455,51.965,52.16,52.16,2018-06-21T00:00:00+0000,INTC,0.0,datos_limpios
52.9,53.08,52.16,52.395,52.395,2018-06-22T00:00:00+0000,INTC,0.0,datos_limpios
51.26,51.7,49.915,50.705,50.705,2018-06-25T00:00:00+0000,INTC,0.0,datos_limpios
50.705,50.705,49.37,49.67,49.67,2018-06-26T00:00:00+0000,INTC,0.0,datos_limpios
49.88,50.06,48.8,48.825,48.825,2018-06-27T00:00:00+0000,INTC,0.0,datos_limpios
49.45,49.48,48.5,49.255,49.255,2018-06-28T00:00:00+0000,INTC,0.0,datos_limpios
50.015,50.1,49.255,49.75,49.75,2018-06-29T00:00:00+0000,INTC,0.0,datos_limpios
49.97,50.255,48.84,50.2,50.2,2018-07-02T00:00:00+0000,INTC,0.0,datos_limpios
50.58,50.71,49.46,49.47,49.47,2018-07-03T00:00:00+0000,INTC,0.0,datos_limpios
50.91,50.95,49.47,50.75,50.75,2018-07-05T00:00:00+0000,INTC,0.0,datos_limpios
51.435,51.5,50.43,51.37,51.37,2018-07-06T00:00:00+0000,INTC,0.0,datos_limpios
51.74,51.89,51.0,51.86,51.86,2018-07-09T00:00:00+0000,INTC,0.0,datos_limpios
52.19,52.25,51.855,52.18,52.18,2018-07-10T00:00:00+0000,INTC,0.0,datos_limpios
52.15,52.15,51.195,51.2,51.2,2018-07-11T00:00:00+0000,INTC,0.0,datos_limpios
52.475,52.48,51.2,52.35,52.35,2018-07-12T00:00:00+0000,INTC,0.0,datos_limpios
52.35,52.39,51.78,52.22,52.22,2018-07-13T00:00:00+0000,INTC,0.0,datos_limpios
52.22,52.3,51.87,52.01,52.01,2018-07-16T00:00:00+0000,INTC,0.0,datos_limpios
52.01,52.01,51.06,51.75,51.75,2018-07-17T00:00:00+0000,INTC,0.0,datos_limpios
51.9,51.94,51.48,51.72,51.72,2018-07-18T00:00:00+0000,INTC,0.0,datos_limpios
51.72,52.005,51.06,51.98,51.98,2018-07-19T00:00:00+0000,INTC,0.0,datos_limpios
51.98,52.04,51.345,51.91,51.91,2018-07-20T00:00:00+0000,INTC,0.0,datos_limpios
52.485,52.49,51.35,52.475,52.475,2018-07-23T00:00:00+0000,INTC,0.0,datos_limpios
53.205,53.295,52.08,52.18,52.18,2018-07-24T00:00:00+0000,INTC,0.0,datos_limpios
52.26,52.445,51.1,52.43,52.43,2018-07-25T00:00:00+0000,INTC,0.0,datos_limpios
52.475,53.17,51.88,52.17,52.17,2018-07-26T00:00:00+0000,INTC,0.0,datos_limpios
52.17,52.17,47.485,47.68,47.68,2018-07-27T00:00:00+0000,INTC,0.0,datos_limpios
47.905,47.98,46.485,47.69,47.69,2018-07-30T00:00:00+0000,INTC,0.0,datos_limpios
48.66,48.67,47.69,48.1,48.1,2018-07-31T00:00:00+0000,INTC,0.0,datos_limpios
48.715,48.905,48.025,48.81,48.81,2018-08-01T00:00:00+0000,INTC,0.0,datos_limpios
49.38,49.51,48.2,49.48,49.48,2018-08-02T00:00:00+0000,INTC,0.0,datos_limpios
49.64,49.725,49.18,49.62,49.62,2018-08-03T00:00:00+0000,INTC,0.0,datos_limpios
49.195,49.3,48.32,49.3,49.3,2018-08-06T00:00:00+0000,INTC,0.0,datos_limpios
49.75,49.83,49.3,49.7,49.7,2018-08-07T00:00:00+0000,INTC,0.0,datos_limpios
