open,high,low,last,close,date,symbol,stock_splits,estado
98.69,99.15,97.005,99.86,99.86,2020-05-29T00:00:00+0000,JPM,0.0,datos_limpios
97.9,99.5,97.31,97.31,97.31,2020-06-01T00:00:00+0000,JPM,0.0,datos_limpios
100.22,100.41,97.38,98.6,98.6,2020-06-02T00:00:00+0000,JPM,0.0,datos_limpios
103.86,106.57,102.8,104.27,104.27,2020-06-04T00:00:00+0000,JPM,0.0,datos_limpios
111.84,115.76,102.79,106.44,106.44,2020-06-05T00:00:00+0000,JPM,0.0,datos_limpios
113.47,114.19,111.23,111.23,111.23,2020-06-08T00:00:00+0000,JPM,0.0,datos_limpios
113.41,114.19,109.01,113.45,113.45,2020-06-09T00:00:00+0000,JPM,0.0,datos_limpios
110.65,111.63,109.01,113.45,113.45,2020-06-10T00:00:00+0000,JPM,0.0,datos_limpios
101.42,101.54,96.56,100.94,100.94,2020-06-11T00:00:00+0000,JPM,0.0,datos_limpios
100.93,101.12,97.17,98.64,98.64,2020-06-12T00:00:00+0000,JPM,0.0,datos_limpios
101.335,101.36,95.89,99.87,99.87,2020-06-15T00:00:00+0000,JPM,0.0,datos_limpios
105.35,105.65,95.87,101.25,101.25,2020-06-16T00:00:00+0000,JPM,0.0,datos_limpios
105.37,105.68,99.235,102.06,102.06,2020-06-17T00:00:00+0000,JPM,0.0,datos_limpios
102.53,102.54,98.205,99.48,99.48,2020-06-18T00:00:00+0000,JPM,0.0,datos_limpios
100.29,100.52,96.73,98.94,98.94,2020-06-19T00:00:00+0000,JPM,0.0,datos_limpios
97.185,97.9,96.58,97.81,97.81,2020-06-22T00:00:00+0000,JPM,0.0,datos_limpios
98.55,99.93,96.54,96.75,96.75,2020-06-23T00:00:00+0000,JPM,0.0,datos_limpios
98.97,99.97,94.315,97.93,97.93,2020-06-24T00:00:00+0000,JPM,0.0,datos_limpios
96.75,98.195,94.31,94.66,94.66,2020-06-25T00:00:00+0000,JPM,0.0,datos_limpios
95.045,98.21,92.0,97.96,97.96,2020-06-26T00:00:00+0000,JPM,0.0,datos_limpios
93.24,94.48,92.18,92.59,92.59,2020-06-29T00:00:00+0000,JPM,0.0,datos_limpios
93.4,94.64,92.18,93.0,93.0,2020-06-30T00:00:00+0000,JPM,0.0,datos_limpios
94.805,95.705,92.57,94.06,94.06,2020-07-01T00:00:00+0000,JPM,0.0,datos_limpios
94.89,95.705,91.945,93.26,93.26,2020-07-02T00:00:00+0000,JPM,0.0,datos_limpios
94.36,95.145,92.66,92.66,92.66,2020-07-06T00:00:00+0000,JPM,0.0,datos_limpios
94.43,95.2,92.015,95.0,95.0,2020-07-07T00:00:00+0000,JPM,0.0,datos_limpios
93.82,94.1,91.8,92.32,92.32,2020-07-08T00:00:00+0000,JPM,0.0,datos_limpios
93.74,94.08,90.83,93.3,93.3,2020-07-09T00:00:00+0000,JPM,0.0,datos_limpios
90.65,96.82,90.65,91.28,91.28,2020-07-10T00:00:00+0000,JPM,0.0,datos_limpios
98.79,99.235,96.27,96.27,96.27,2020-07-13T00:00:00+0000,JPM,0.0,datos_limpios
99.2,99.94,96.665,97.65,97.65,2020-07-14T00:00:00+0000,JPM,0.0,datos_limpios
100.945,101.29,96.64,98.21,98.21,2020-07-15T00:00:00+0000,JPM,0.0,datos_limpios
100.89,101.29,98.595,99.73,99.73,2020-07-16T00:00:00+0000,JPM,0.0,datos_limpios
99.825,101.22,98.16,100.01,100.01,2020-07-17T00:00:00+0000,JPM,0.0,datos_limpios
97.31,98.37,97.305,98.16,98.16,2020-07-20T00:00:00+0000,JPM,0.0,datos_limpios
97.72,100.02,97.26,97.3,97.3,2020-07-21T00:00:00+0000,JPM,0.0,datos_limpios
99.52,100.05,97.54,99.41,99.41,2020-07-22T00:00:00+0000,JPM,0.0,datos_limpios
99.65,100.13,97.53,98.69,98.69,2020-07-23T00:00:00+0000,JPM,0.0,datos_limpios
99.54,99.74,97.95,98.98,98.98,2020-07-24T00:00:00+0000,JPM,0.0,datos_limpios
97.4,97.63,96.22,98.28,98.28,2020-07-27T00:00:00+0000,JPM,0.0,datos_limpios
97.51,97.885,96.17,96.9,96.9,2020-07-28T00:00:00+0000,JPM,0.0,datos_limpios
97.08,99.695,96.5,97.32,97.32,2020-07-29T00:00:00+0000,JPM,0.0,datos_limpios
97.65,97.85,96.075,99.68,99.68,2020-07-30T00:00:00+0000,JPM,0.0,datos_limpios
97.54,97.74,95.26,97.02,97.02,2020-07-31T00:00:00+0000,JPM,0.0,datos_limpios
97.05,97.545,95.9,96.64,96.64,2020-08-03T00:00:00+0000,JPM,0.0,datos_limpios
97.02,97.57,95.055,96.1,96.1,2020-08-04T00:00:00+0000,JPM,0.0,datos_limpios
95.91,98.44,95.03,95.55,95.55,2020-08-05T00:00:00+0000,JPM,0.0,datos_limpios
97.475,98.47,95.72,97.21,97.21,2020-08-06T00:00:00+0000,JPM,0.0,datos_limpios
97.58,99.485,96.54,97.24,97.24,2020-08-07T00:00:00+0000,JPM,0.0,datos_limpios
100.16,102.035,99.38,99.38,99.38,2020-08-10T00:00:00+0000,JPM,0.0,datos_limpios
103.02,106.145,100.0343,100.64,100.64,2020-08-11T00:00:00+0000,JPM,0.0,datos_limpios
106.39,106.78,101.72,103.82,103.82,2020-08-12T00:00:00+0000,JPM,0.0,datos_limpios
106.16,106.43,101.675,102.94,102.94,2020-08-13T00:00:00+0000,JPM,0.0,datos_limpios
102.0,103.36,101.46,102.37,102.37,2020-08-14T00:00:00+0000,JPM,0.0,datos_limpios
101.46,101.975,99.56,102.41,102.41,2020-08-17T00:00:00+0000,JPM,0.0,datos_limpios
101.5,102.0,98.125,99.71,99.71,2020-08-18T00:00:00+0000,JPM,0.0,datos_limpios
99.91,100.555,98.12,98.32,98.32,2020-08-19T00:00:00+0000,JPM,0.0,datos_limpios
98.92,100.59,96.855,98.55,98.55,2020-08-20T00:00:00+0000,JPM,0.0,datos_limpios
97.26,98.54,96.8,97.37,97.37,2020-08-21T00:00:00+0000,JPM,0.0,datos_limpios
