open,high,low,last,close,date,symbol,stock_splits,estado
46.66,46.87,46.185,47.09,47.09,2020-05-29T00:00:00+0000,KO,0.0,datos_limpios
46.67,47.195,46.595,46.68,46.68,2020-06-01T00:00:00+0000,KO,0.0,datos_limpios
47.16,47.27,46.59,46.99,46.99,2020-06-02T00:00:00+0000,KO,0.0,datos_limpios
47.925,48.265,47.385,47.9,47.9,2020-06-04T00:00:00+0000,KO,0.0,datos_limpios
48.97,49.49,47.38,47.92,47.92,2020-06-05T00:00:00+0000,KO,0.0,datos_limpios
49.63,49.955,49.09,49.09,49.09,2020-06-08T00:00:00+0000,KO,0.0,datos_limpios
49.56,49.97,48.69,49.85,49.85,2020-06-09T00:00:00+0000,KO,0.0,datos_limpios
49.59,49.59,48.68,49.85,49.85,2020-06-10T00:00:00+0000,KO,0.0,datos_limpios
47.83,47.925,45.465,45.785,45.785,2020-06-11T00:00:00+0000,KO,0.0,datos_limpios
46.23,46.245,45.01,45.27,45.27,2020-06-12T00:00:00+0000,KO,0.0,datos_limpios
46.425,46.44,44.48,45.6,45.6,2020-06-15T00:00:00+0000,KO,0.0,datos_limpios
47.65,47.68,44.47,46.94,46.94,2020-06-16T00:00:00+0000,KO,0.0,datos_limpios
47.56,47.685,46.19,46.77,46.77,2020-06-17T00:00:00+0000,KO,0.0,datos_limpios
46.78,47.06,46.09,46.58,46.58,2020-06-18T00:00:00+0000,KO,0.0,datos_limpios
47.75,47.78,46.07,46.99,46.99,2020-06-19T00:00:00+0000,KO,0.0,datos_limpios
46.01,46.14,45.38,46.02,46.02,2020-06-22T00:00:00+0000,KO,0.0,datos_limpios
46.2,46.285,45.38,45.74,45.74,2020-06-23T00:00:00+0000,KO,0.0,datos_limpios
46.0,46.29,44.5,45.64,45.64,2020-06-24T00:00:00+0000,KO,0.0,datos_limpios
45.37,45.44,44.04,44.65,44.65,2020-06-25T00:00:00+0000,KO,0.0,datos_limpios
44.95,45.005,43.525,44.93,44.93,2020-06-26T00:00:00+0000,KO,0.0,datos_limpios
43.67,44.565,43.57,43.57,43.57,2020-06-29T00:00:00+0000,KO,0.0,datos_limpios
44.295,44.83,43.55,44.36,44.36,2020-06-30T00:00:00+0000,KO,0.0,datos_limpios
45.03,45.53,44.04,44.68,44.68,2020-07-01T00:00:00+0000,KO,0.0,datos_limpios
45.265,45.53,44.71,44.82,44.82,2020-07-02T00:00:00+0000,KO,0.0,datos_limpios
45.24,45.24,44.615,44.88,44.88,2020-07-06T00:00:00+0000,KO,0.0,datos_limpios
45.14,45.5,44.6,45.23,45.23,2020-07-07T00:00:00+0000,KO,0.0,datos_limpios
45.115,45.5,44.48,45.21,45.21,2020-07-08T00:00:00+0000,KO,0.0,datos_limpios
45.15,45.18,43.825,45.07,45.07,2020-07-09T00:00:00+0000,KO,0.0,datos_limpios
45.05,45.25,43.82,43.91,43.91,2020-07-10T00:00:00+0000,KO,0.0,datos_limpios
45.4,45.675,44.97,45.15,45.15,2020-07-13T00:00:00+0000,KO,0.0,datos_limpios
45.53,45.94,44.68,45.25,45.25,2020-07-14T00:00:00+0000,KO,0.0,datos_limpios
46.3,47.19,44.67,45.87,45.87,2020-07-15T00:00:00+0000,KO,0.0,datos_limpios
46.3,47.19,45.94,46.4,46.4,2020-07-16T00:00:00+0000,KO,0.0,datos_limpios
46.475,46.91,45.94,46.15,46.15,2020-07-17T00:00:00+0000,KO,0.0,datos_limpios
46.745,46.83,45.85,46.82,46.82,2020-07-20T00:00:00+0000,KO,0.0,datos_limpios
47.495,47.985,45.85,46.12,46.12,2020-07-21T00:00:00+0000,KO,0.0,datos_limpios
47.76,48.52,46.93,47.2,47.2,2020-07-22T00:00:00+0000,KO,0.0,datos_limpios
48.45,48.565,47.03,48.48,48.48,2020-07-23T00:00:00+0000,KO,0.0,datos_limpios
48.47,48.795,48.03,48.28,48.28,2020-07-24T00:00:00+0000,KO,0.0,datos_limpios
48.285,48.51,48.185,48.49,48.49,2020-07-27T00:00:00+0000,KO,0.0,datos_limpios
48.37,49.265,48.1,48.48,48.48,2020-07-28T00:00:00+0000,KO,0.0,datos_limpios
48.34,49.28,47.825,48.18,48.18,2020-07-29T00:00:00+0000,KO,0.0,datos_limpios
48.14,48.5,47.205,48.02,48.02,2020-07-30T00:00:00+0000,KO,0.0,datos_limpios
47.67,48.23,46.72,47.69,47.69,2020-07-31T00:00:00+0000,KO,0.0,datos_limpios
