open,high,low,last,close,date,symbol,stock_splits,estado
305.575,307.94,300.563,305.93,305.93,2020-06-02T00:00:00+0000,UNH,0.0,datos_limpios
303.99,304.46,294.43,305.35,305.35,2020-06-04T00:00:00+0000,UNH,0.0,datos_limpios
303.18,314.28,294.2944,298.08,298.08,2020-06-05T00:00:00+0000,UNH,0.0,datos_limpios
309.405,315.745,308.005,311.85,311.85,2020-06-08T00:00:00+0000,UNH,0.0,datos_limpios
309.65,315.84,307.52,309.48,309.48,2020-06-09T00:00:00+0000,UNH,0.0,datos_limpios
309.9,312.655,307.33,309.48,309.48,2020-06-10T00:00:00+0000,UNH,0.0,datos_limpios
278.01,286.77,274.28,285.15,285.15,2020-06-15T00:00:00+0000,UNH,0.0,datos_limpios
295.67,297.39,273.71,286.28,286.28,2020-06-16T00:00:00+0000,UNH,0.0,datos_limpios
295.44,297.565,287.44,293.0,293.0,2020-06-17T00:00:00+0000,UNH,0.0,datos_limpios
295.1,295.1,287.0,292.6,292.6,2020-06-18T00:00:00+0000,UNH,0.0,datos_limpios
293.69,296.39,286.6,291.48,291.48,2020-06-19T00:00:00+0000,UNH,0.0,datos_limpios
290.26,292.97,286.3,291.24,291.24,2020-06-22T00:00:00+0000,UNH,0.0,datos_limpios
294.715,299.25,286.26,292.67,292.67,2020-06-23T00:00:00+0000,UNH,0.0,datos_limpios
294.4,299.28,285.67,297.6,297.6,2020-06-24T00:00:00+0000,UNH,0.0,datos_limpios
293.99,297.1,285.57,289.18,289.18,2020-06-25T00:00:00+0000,UNH,0.0,datos_limpios
294.97,296.78,285.82,296.22,296.22,2020-06-26T00:00:00+0000,UNH,0.0,datos_limpios
287.81,292.26,286.74,286.88,286.88,2020-06-29T00:00:00+0000,UNH,0.0,datos_limpios
288.935,296.44,286.615,289.76,289.76,2020-06-30T00:00:00+0000,UNH,0.0,datos_limpios
295.95,300.16,287.66,294.95,294.95,2020-07-01T00:00:00+0000,UNH,0.0,datos_limpios
300.69,303.105,295.24,297.73,297.73,2020-07-02T00:00:00+0000,UNH,0.0,datos_limpios
302.97,303.19,298.26,298.26,298.26,2020-07-06T00:00:00+0000,UNH,0.0,datos_limpios
303.0,303.49,296.01,302.81,302.81,2020-07-07T00:00:00+0000,UNH,0.0,datos_limpios
300.66,303.56,295.71,296.65,296.65,2020-07-08T00:00:00+0000,UNH,0.0,datos_limpios
297.35,300.86,287.605,298.36,298.36,2020-07-09T00:00:00+0000,UNH,0.0,datos_limpios
295.1,298.55,287.175,291.16,291.16,2020-07-10T00:00:00+0000,UNH,0.0,datos_limpios
292.77,304.32,291.23,291.23,291.23,2020-07-13T00:00:00+0000,UNH,0.0,datos_limpios
297.55,309.65,291.77,299.71,299.71,2020-07-14T00:00:00+0000,UNH,0.0,datos_limpios
301.13,310.46,296.71,308.52,308.52,2020-07-15T00:00:00+0000,UNH,0.0,datos_limpios
305.0,310.77,298.66,304.07,304.07,2020-07-16T00:00:00+0000,UNH,0.0,datos_limpios
309.0,310.875,303.16,307.15,307.15,2020-07-17T00:00:00+0000,UNH,0.0,datos_limpios
306.77,308.36,302.48,306.53,306.53,2020-07-20T00:00:00+0000,UNH,0.0,datos_limpios
306.79,308.6,302.38,303.46,303.46,2020-07-21T00:00:00+0000,UNH,0.0,datos_limpios
305.03,307.0,301.805,305.11,305.11,2020-07-22T00:00:00+0000,UNH,0.0,datos_limpios
307.405,308.47,301.32,306.71,306.71,2020-07-23T00:00:00+0000,UNH,0.0,datos_limpios
308.2,308.5,299.28,302.97,302.97,2020-07-24T00:00:00+0000,UNH,0.0,datos_limpios
297.99,302.06,297.49,300.79,300.79,2020-07-27T00:00:00+0000,UNH,0.0,datos_limpios
298.43,302.13,297.25,298.6,298.6,2020-07-28T00:00:00+0000,UNH,0.0,datos_limpios
301.275,309.685,297.205,299.93,299.93,2020-07-29T00:00:00+0000,UNH,0.0,datos_limpios
302.35,309.75,298.895,306.68,306.68,2020-07-30T00:00:00+0000,UNH,0.0,datos_limpios
303.42,306.46,298.125,305.23,305.23,2020-07-31T00:00:00+0000,UNH,0.0,datos_limpios
303.27,304.49,299.28,302.78,302.78,2020-08-03T00:00:00+0000,UNH,0.0,datos_limpios
303.59,308.75,299.2,303.61,303.61,2020-08-04T00:00:00+0000,UNH,0.0,datos_limpios
306.17,312.87,300.07,304.5,304.5,2020-08-05T00:00:00+0000,UNH,0.0,datos_limpios
311.525,315.86,305.02,312.47,312.47,2020-08-06T00:00:00+0000,UNH,0.0,datos_limpios
314.2,318.955,310.4,314.06,314.06,2020-08-07T00:00:00+0000,UNH,0.0,datos_limpios
317.28,320.425,315.78,317.03,317.03,2020-08-10T00:00:00+0000,UNH,0.0,datos_limpios
322.77,324.41,314.73,319.1,319.1,2020-08-11T00:00:00+0000,UNH,0.0,datos_limpios
322.92,324.57,314.66,315.55,315.55,2020-08-12T00:00:00+0000,UNH,0.0,datos_limpios
320.95,323.29,317.64,322.27,322.27,2020-08-13T00:00:00+0000,UNH,0.0,datos_limpios
320.68,323.94,317.84,321.52,321.52,2020-08-14T00:00:00+0000,UNH,0.0,datos_limpios
322.375,323.94,319.42,323.7,323.7,2020-08-17T00:00:00+0000,UNH,0.0,datos_limpios
321.62,323.8,315.77,320.51,320.51,2020-08-18T00:00:00+0000,UNH,0.0,datos_limpios
321.98,322.67,315.32,316.81,316.81,2020-08-19T00:00:00+0000,UNH,0.0,datos_limpios
316.77,319.49,312.125,315.4,315.4,2020-08-20T00:00:00+0000,UNH,0.0,datos_limpios
314.83,315.28,310.35,313.33,313.33,2020-08-21T00:00:00+0000,UNH,0.0,datos_limpios
316.11,316.22,306.5,314.14,314.14,2020-08-24T00:00:00+0000,UNH,0.0,datos_limpios
316.81,316.9,306.49,308.84,308.84,2020-08-25T00:00:00+0000,UNH,0.0,datos_limpios
312.2,312.36,303.9,312.22,312.22,2020-08-26T00:00:00+0000,UNH,0.0,datos_limpios
310.98,314.775,303.61,308.82,308.82,2020-08-27T00:00:00+0000,UNH,0.0,datos_limpios
312.445,315.79,305.49,311.67,311.67,2020-08-28T00:00:00+0000,UNH,0.0,datos_limpios
314.98,319.51,312.65,314.37,314.37,2020-08-31T00:00:00+0000,UNH,0.0,datos_limpios
314.89,319.56,310.095,312.55,312.55,2020-09-01T00:00:00+0000,UNH,0.0,datos_limpios
317.76,319.87,310.0,312.83,312.83,2020-09-02T00:00:00+0000,UNH,0.0,datos_limpios
321.94,323.75,312.56,320.24,320.24,2020-09-03T00:00:00+0000,UNH,0.0,datos_limpios
322.0,323.82,306.7,316.23,316.23,2020-09-04T00:00:00+0000,UNH,0.0,datos_limpios
311.28,311.28,304.06,312.0,312.0,2020-09-08T00:00:00+0000,UNH,0.0,datos_limpios
311.03,315.32,303.83,307.25,307.25,2020-09-09T00:00:00+0000,UNH,0.0,datos_limpios
312.485,315.315,306.96,312.02,312.02,2020-09-10T00:00:00+0000,UNH,0.0,datos_limpios
312.73,314.44,297.465,304.6,304.6,2020-09-11T00:00:00+0000,UNH,0.0,datos_limpios
303.3,311.1,301.48,301.48,301.48,2020-09-14T00:00:00+0000,UNH,0.0,datos_limpios
309.83,311.42,303.01,308.57,308.57,2020-09-15T00:00:00+0000,UNH,0.0,datos_limpios
310.05,312.185,306.05,307.23,307.23,2020-09-16T00:00:00+0000,UNH,0.0,datos_limpios
309.07,312.2499,302.29,306.52,306.52,2020-09-17T00:00:00+0000,UNH,0.0,datos_limpios
305.38,310.24,302.11,304.98,304.98,2020-09-18T00:00:00+0000,UNH,0.0,datos_limpios
300.0,300.14,291.735,308.02,308.02,2020-09-21T00:00:00+0000,UNH,0.0,datos_limpios
300.47,300.53,291.66,299.19,299.19,2020-09-22T00:00:00+0000,UNH,0.0,datos_limpios
298.44,300.62,291.84,294.26,294.26,2020-09-23T00:00:00+0000,UNH,0.0,datos_limpios
295.0,296.1,289.89,292.14,292.14,2020-09-24T00:00:00+0000,UNH,0.0,datos_limpios
292.39,303.2,289.64,292.66,292.66,2020-09-25T00:00:00+0000,UNH,0.0,datos_limpios
306.775,309.775,302.5,302.5,302.5,2020-09-28T00:00:00+0000,UNH,0.0,datos_limpios
306.39,310.01,300.78,303.23,303.23,2020-09-29T00:00:00+0000,UNH,0.0,datos_limpios
303.99,314.43,300.68,304.15,304.15,2020-09-30T00:00:00+0000,UNH,0.0,datos_limpios
312.235,315.11,303.99,311.77,311.77,2020-10-01T00:00:00+0000,UNH,0.0,datos_limpios
312.91,317.34,308.36,313.07,313.07,2020-10-02T00:00:00+0000,UNH,0.0,datos_limpios
314.87,318.4,311.98,311.98,311.98,2020-10-05T00:00:00+0000,UNH,0.0,datos_limpios
318.685,320.23,313.12,318.15,318.15,2020-10-06T00:00:00+0000,UNH,0.0,datos_limpios
318.95,324.73,313.49,314.45,314.45,2020-10-07T00:00:00+0000,UNH,0.0,datos_limpios
323.45,325.35,315.82,323.17,323.17,2020-10-08T00:00:00+0000,UNH,0.0,datos_limpios
324.24,328.11,320.99,322.41,322.41,2020-10-09T00:00:00+0000,UNH,0.0,datos_limpios
329.32,333.38,327.84,327.84,327.84,2020-10-12T00:00:00+0000,UNH,0.0,datos_limpios
329.12,333.63,327.81,329.97,329.97,2020-10-13T00:00:00+0000,UNH,0.0,datos_limpios
328.5,333.7,320.5,331.42,331.42,2020-10-14T00:00:00+0000,UNH,0.0,datos_limpios
322.07,330.57,316.31,321.85,321.85,2020-10-15T00:00:00+0000,UNH,0.0,datos_limpios
325.945,332.32,316.33,324.57,324.57,2020-10-16T00:00:00+0000,UNH,0.0,datos_limpios
330.54,330.66,322.08,325.4,325.4,2020-10-19T00:00:00+0000,UNH,0.0,datos_limpios
328.44,328.625,323.36,326.335,326.335,2020-10-20T00:00:00+0000,UNH,0.0,datos_limpios
326.225,326.42,322.195,324.22,324.22,2020-10-21T00:00:00+0000,UNH,0.0,datos_limpios
327.94,327.99,322.18,322.79,322.79,2020-10-22T00:00:00+0000,UNH,0.0,datos_limpios
335.15,335.565,322.25,325.73,325.73,2020-10-23T00:00:00+0000,UNH,0.0,datos_limpios
326.81,327.48,318.535,330.6,330.6,2020-10-26T00:00:00+0000,UNH,0.0,datos_limpios
326.32,327.75,318.535,323.06,323.06,2020-10-27T00:00:00+0000,UNH,0.0,datos_limpios
323.06,323.495,307.49,320.51,320.51,2020-10-28T00:00:00+0000,UNH,0.0,datos_limpios
313.33,317.81,301.56,308.0,308.0,2020-10-29T00:00:00+0000,UNH,0.0,datos_limpios
306.59,309.475,299.67,303.68,303.68,2020-10-30T00:00:00+0000,UNH,0.0,datos_limpios
311.425,312.48,305.14,305.14,305.14,2020-11-02T00:00:00+0000,UNH,0.0,datos_limpios
317.42,326.44,307.36,312.1,312.1,2020-11-03T00:00:00+0000,UNH,0.0,datos_limpios
339.0,360.415,315.015,321.35,321.35,2020-11-04T00:00:00+0000,UNH,0.0,datos_limpios
358.08,360.98,341.141,354.56,354.56,2020-11-05T00:00:00+0000,UNH,0.0,datos_limpios
358.07,360.98,344.84,354.4,354.4,2020-11-06T00:00:00+0000,UNH,0.0,datos_limpios
370.0,370.0,347.46,347.46,347.46,2020-11-09T00:00:00+0000,UNH,0.0,datos_limpios
366.31,367.95,348.33,350.0,350.0,2020-11-10T00:00:00+0000,UNH,0.0,datos_limpios
355.63,356.81,348.17,353.69,353.69,2020-11-11T00:00:00+0000,UNH,0.0,datos_limpios
356.16,360.49,349.405,351.7,351.7,2020-11-12T00:00:00+0000,UNH,0.0,datos_limpios
357.23,360.52,349.75,354.41,354.41,2020-11-13T00:00:00+0000,UNH,0.0,datos_limpios
358.95,359.035,351.16,355.67,355.67,2020-11-16T00:00:00+0000,UNH,0.0,datos_limpios
358.95,359.58,347.5,356.82,356.82,2020-11-17T00:00:00+0000,UNH,0.0,datos_limpios
353.2,353.83,343.13,352.1,352.1,2020-11-18T00:00:00+0000,UNH,0.0,datos_limpios
353.43,354.05,334.3,344.51,344.51,2020-11-19T00:00:00+0000,UNH,0.0,datos_limpios
342.29,343.07,330.23,337.0,337.0,2020-11-20T00:00:00+0000,UNH,0.0,datos_limpios
335.645,336.17,331.59,334.7,334.7,2020-11-23T00:00:00+0000,UNH,0.0,datos_limpios
337.055,339.93,331.59,335.06,335.06,2020-11-24T00:00:00+0000,UNH,0.0,datos_limpios
337.825,340.0,329.23,336.01,336.01,2020-11-25T00:00:00+0000,UNH,0.0,datos_limpios
333.78,338.9,331.835,333.19,333.19,2020-11-27T00:00:00+0000,UNH,0.0,datos_limpios
336.66,337.88,330.57,337.94,337.94,2020-11-30T00:00:00+0000,UNH,0.0,datos_limpios
342.49,353.99,330.29,336.34,336.34,2020-12-01T00:00:00+0000,UNH,0.0,datos_limpios
344.77,354.1,339.93,341.19,341.19,2020-12-02T00:00:00+0000,UNH,0.0,datos_limpios
348.47,352.77,341.5,347.56,347.56,2020-12-03T00:00:00+0000,UNH,0.0,datos_limpios
347.9,352.77,346.0,348.68,348.68,2020-12-04T00:00:00+0000,UNH,0.0,datos_limpios
