open,high,low,last,close,date,symbol,stock_splits,estado
134.84,135.165,133.815,134.29,134.29,2018-06-11T00:00:00+0000,V,0.0,datos_limpios
135.06,135.12,133.54,134.88,134.88,2018-06-12T00:00:00+0000,V,0.0,datos_limpios
135.6,135.77,134.32,134.88,134.88,2018-06-13T00:00:00+0000,V,0.0,datos_limpios
135.5,135.67,134.34,134.9,134.9,2018-06-14T00:00:00+0000,V,0.0,datos_limpios
135.67,135.67,134.0,135.01,135.01,2018-06-15T00:00:00+0000,V,0.0,datos_limpios
136.02,136.29,134.13,136.19,136.19,2018-06-18T00:00:00+0000,V,0.0,datos_limpios
136.19,136.19,133.58,135.12,135.12,2018-06-19T00:00:00+0000,V,0.0,datos_limpios
136.52,136.69,135.12,135.74,135.74,2018-06-20T00:00:00+0000,V,0.0,datos_limpios
135.83,136.06,134.26,134.6,134.6,2018-06-21T00:00:00+0000,V,0.0,datos_limpios
135.66,135.85,134.26,135.31,135.31,2018-06-22T00:00:00+0000,V,0.0,datos_limpios
134.875,134.875,129.59,130.93,130.93,2018-06-25T00:00:00+0000,V,0.0,datos_limpios
133.69,133.78,130.93,132.63,132.63,2018-06-26T00:00:00+0000,V,0.0,datos_limpios
133.44,133.64,131.06,131.06,131.06,2018-06-27T00:00:00+0000,V,0.0,datos_limpios
132.895,133.08,130.7,132.71,132.71,2018-06-28T00:00:00+0000,V,0.0,datos_limpios
133.68,134.14,132.59,132.72,132.72,2018-06-29T00:00:00+0000,V,0.0,datos_limpios
132.97,133.04,131.2,132.82,132.82,2018-07-02T00:00:00+0000,V,0.0,datos_limpios
133.075,133.18,131.435,131.45,131.45,2018-07-03T00:00:00+0000,V,0.0,datos_limpios
132.975,133.29,131.45,133.26,133.26,2018-07-05T00:00:00+0000,V,0.0,datos_limpios
134.22,134.27,132.525,134.07,134.07,2018-07-06T00:00:00+0000,V,0.0,datos_limpios
135.81,135.94,134.85,135.67,135.67,2018-07-09T00:00:00+0000,V,0.0,datos_limpios
137.19,137.31,135.34,136.65,136.65,2018-07-10T00:00:00+0000,V,0.0,datos_limpios
138.6,138.79,136.6,138.32,138.32,2018-07-11T00:00:00+0000,V,0.0,datos_limpios
139.7,139.92,138.15,139.88,139.88,2018-07-12T00:00:00+0000,V,0.0,datos_limpios
139.9,139.91,137.64,139.12,139.12,2018-07-13T00:00:00+0000,V,0.0,datos_limpios
139.46,139.46,138.16,138.54,138.54,2018-07-16T00:00:00+0000,V,0.0,datos_limpios
139.84,139.91,137.58,139.68,139.68,2018-07-17T00:00:00+0000,V,0.0,datos_limpios
141.075,141.16,139.405,140.68,140.68,2018-07-18T00:00:00+0000,V,0.0,datos_limpios
140.92,140.92,139.94,140.07,140.07,2018-07-19T00:00:00+0000,V,0.0,datos_limpios
141.39,141.44,139.95,141.01,141.01,2018-07-20T00:00:00+0000,V,0.0,datos_limpios
140.75,140.96,139.64,140.02,140.02,2018-07-23T00:00:00+0000,V,0.0,datos_limpios
141.265,141.47,139.51,139.96,139.96,2018-07-24T00:00:00+0000,V,0.0,datos_limpios
141.785,142.76,139.9,141.23,141.23,2018-07-25T00:00:00+0000,V,0.0,datos_limpios
