,year,month,dif,date
0,2020,5,5.215000000000003,2020-05-01
1,2020,6,9.861249999999998,2020-06-01
2,2020,7,4.920000000000002,2020-07-01
3,2020,8,16.8425,2020-08-01
4,2020,9,-18.099999999999994,2020-09-01
5,2020,10,-2.510000000000005,2020-10-01
6,2020,11,7.070000000000007,2020-11-01
7,2020,12,12.379999999999995,2020-12-01
8,2021,1,3.170000000000016,2021-01-01
9,2021,2,-12.89,2021-02-01
10,2021,3,-4.779060314911803,2021-03-01
11,2021,4,10.079999999999984,2021-04-01
12,2021,5,-8.449999999999989,2021-05-01
13,2021,6,11.170000000000016,2021-06-01
