,year,month,dif,date
0,2020,5,12.009999999999991,2020-05-01
1,2020,6,-8.240000000000009,2020-06-01
2,2020,7,1.1699999999999875,2020-07-01
3,2020,8,8.909999999999997,2020-08-01
4,2020,9,-8.710000000000008,2020-09-01
5,2020,10,-11.740000000000009,2020-10-01
6,2020,11,43.5,2020-11-01
7,2020,12,27.399999999999977,2020-12-01
8,2021,1,8.319999999999993,2021-01-01
9,2021,2,55.004999999999995,2021-02-01
10,2021,3,-1.5926720883253438,2021-03-01
11,2021,4,23.33000000000004,2021-04-01
12,2021,5,17.730000000000018,2021-05-01
13,2021,6,-10.71999999999997,2021-06-01
