,year,month,dif,date
0,2020,5,-0.060000000000002274,2020-05-01
1,2020,6,-3.3899999999999864,2020-06-01
2,2020,7,16.840000000000003,2020-07-01
3,2020,8,19.70500000000004,2020-08-01
4,2020,9,-12.889999999999986,2020-09-01
5,2020,10,-9.649999999999977,2020-10-01
6,2020,11,5.78000000000003,2020-11-01
7,2020,12,-13.850000000000023,2020-12-01
8,2021,1,11.590000000000032,2021-01-01
9,2021,2,-16.339999999999975,2021-02-01
10,2021,3,43.8861158123874,2021-03-01
11,2021,4,16.810000000000002,2021-04-01
12,2021,5,-12.700000000000045,2021-05-01
13,2021,6,-2.319999999999993,2021-06-01
