year,month,mean,max,date
2020,5,245.14,245.14,2020-05-01
2020,6,248.56526315789472,256.77,2020-06-01
2020,7,257.0690909090909,267.42,2020-07-01
2020,8,279.1052380952381,291.93,2020-08-01
2020,9,275.79571428571427,287.2,2020-09-01
2020,10,281.87363636363636,290.36,2020-10-01
2020,11,275.08000000000004,285.85,2020-11-01
2020,12,268.4804545454545,277.41,2020-12-01
2021,1,273.3878947368421,285.08,2021-01-01
2021,2,274.33000000000004,283.05,2021-02-01
2021,3,277.30760464661915,305.7611158123874,2021-03-01
2021,4,319.4323809523809,328.08,2021-04-01
2021,5,324.1995,341.12,2021-05-01
2021,6,310.56454545454545,318.91,2021-06-01
