date_day,close,high,last,low,open,max_volume,avg_volume
2020-05-29,245.14,248.59,247.7,244.85,245.2,59823.0,59673.0
2020-05-30,245.14,249.71,248.48,244.73,245.06,5341463.0,5341463.0
2020-06-01,248.48,249.51,247.88,245.91,249.51,34905.0,34855.0
2020-06-02,248.48,251.24,251.145,247.2,249.41,3407037.0,41058.0
2020-06-04,251.0,252.16,251.245,247.94,249.53,93706.0,63219.0
2020-06-05,251.0,255.71,255.71,250.69,250.82,4672266.0,101041.0
2020-06-06,248.95,255.85,254.9,250.38,252.34,5004668.0,5004668.0
2020-06-08,254.9,256.81,256.745,252.35,252.91,63258.0,41303.0
2020-06-09,256.77,258.17,258.05,254.0,255.28,3804140.0,32366.0
2020-06-10,256.77,258.29,256.76,253.86,255.33,3482799.0,3482799.0
2020-06-15,242.45,242.02,242.0,235.57,237.32,107606.0,86111.0
2020-06-16,242.45,251.5,249.89,249.315,249.315,6172686.0,5948.0
2020-06-17,249.95,254.515,254.21,251.96,251.96,5180990.0,38841.0
2020-06-18,250.85,254.62,251.37,250.08,252.77,4207795.0,27496.0
2020-06-19,250.85,254.16,254.16,252.72,253.125,3282674.0,80071.0
2020-06-20,249.21,254.3,246.65,246.38,253.1,10685561.0,10685561.0
2020-06-22,246.65,250.02,249.975,245.63,245.63,85902.0,40553.0
2020-06-23,249.16,253.36,253.36,252.51,252.7,3460523.0,41151.0
2020-06-24,250.31,253.44,250.31,250.13,253.0,2963278.0,32577.0
2020-06-25,250.31,250.2873,246.13,244.665,247.81,3870650.0,64756.0
2020-06-26,246.13,246.35,245.89,245.13,245.13,2936752.0,32184.0
2020-06-27,245.38,246.1,241.01,240.25,245.35,4998294.0,4998294.0
2020-06-29,241.01,246.46,246.46,240.66,240.66,82465.0,35916.0
2020-06-30,246.12,251.65,251.555,246.875,246.89,3466426.0,28388.0
2020-07-01,250.51,251.65,250.51,249.47,249.47,4523479.0,84258.0
2020-07-02,250.51,252.28,252.28,251.31,251.66,3678259.0,54479.0
2020-07-03,248.15,252.3,248.5,247.92,251.94,3368678.0,3368678.0
2020-07-06,248.5,251.33,251.3,250.145,250.4,52265.0,29217.0
2020-07-07,249.55,251.5,250.665,247.88,250.27,3131200.0,30476.0
2020-07-08,249.55,250.78,249.74,247.92,247.975,2927200.0,22288.0
2020-07-09,249.17,250.36,250.225,249.625,249.625,2291600.0,50358.0
2020-07-10,249.17,250.51,250.25,247.8,249.66,2993200.0,52452.0
2020-07-11,247.96,250.33,250.11,246.64,248.29,2744800.0,2744800.0
2020-07-13,250.11,257.855,257.855,251.98,251.98,110049.0,59083.0
2020-07-14,250.11,258.115,258.01,249.09,251.92,4435400.0,56987.0
2020-07-15,257.79,261.25,260.985,260.695,260.695,4619500.0,42938.5
