,empresa,rentabilidad,volatilidad,rtb_anualizada,entropia,ratio_sharpe,ratio_sortino
0,GS,0.8466646843096441,0.29652138845463977,0.7958890247919299,0.12333046784015948,2.6839456792577496,4.316967938927725
1,NKE,0.6172353002177743,0.30279267517563124,0.5822806638957625,0.3454470983819114,1.922939027645173,3.3046508370514327
2,AXP,0.6153619197482296,0.36210324364912466,0.5805310414208182,0.2380353771807326,1.603140378704494,3.0202729480078183
3,AAPL,0.6095631641086188,0.3646192064253606,0.575114774162089,0.603877116633843,1.5772245858301106,2.2893633683688708
4,CAT,0.7466504263093787,0.4845534742655965,0.70292935087543,0.21004468486959715,1.4506002210465847,1.8189797976832038
5,HD,0.3126005361930296,0.20725656203222104,0.2964713223686535,0.5162072134416666,1.4303912090449156,1.94894344615725
6,UNH,0.39610731194108384,0.2645104093384827,0.37509145528324717,0.36757084516253496,1.4179936267856652,2.34042220170334
7,MCD,0.21779351905693303,0.16598337296975266,0.20693518092772667,0.43664230785634695,1.2466680794884797,1.7575181405786233
8,JPM,0.5434064283568637,0.4127402674790411,0.5132581381853492,0.18030629772699805,1.2434775626325714,1.5428155864470363
9,MSFT,0.44561627783104274,0.3658200949218168,0.4216015623035687,0.5836433169725825,1.1524290851770025,1.6173945067888058
10,DIS,0.5060178370421683,0.47101333615737223,0.4782467353113753,0.2249926843803977,1.0153084231229936,1.6148671077383248
11,PG,0.16242864556305137,0.153134780621661,0.1545031123921985,0.6061358035703156,1.0088924915654682,1.3116967251951586
12,JNJ,0.1539219134716848,0.16649920808344829,0.14643706843627324,0.5751902772164333,0.8794687556827546,1.1650950316173248
13,CRM,0.4037462166638112,0.500282480334468,0.38227248265342917,0.6348116035469819,0.7640777772372134,1.0657584929320132
14,KO,0.18114035087719293,0.23162266967504558,0.17223605299343747,0.5763024397451117,0.7435742842024526,0.9125958734653923
15,TRV,0.3193329215565165,0.44724473320979136,0.3028179845208949,0.3509454014447164,0.6770438781253966,0.9003252562812547
16,IBM,0.1939135427774589,0.2977404148234718,0.18433376565539805,0.547826580180959,0.6190822792987232,0.7309562412953563
17,V,0.2272443566004369,0.35237490776484975,0.21587442509381316,0.7529871809159623,0.6126003567725252,0.6644955294257672
18,CSCO,0.17395163079653864,0.2920385593502851,0.16542487935681027,0.3321338350226148,0.566424515954148,0.6447027552317648
19,AMGN,0.11271225332721432,0.25216157854024435,0.1073236058664293,0.9587857447231103,0.4255966624582688,0.5550864854065897
20,BA,0.24405044588676061,0.730880455269027,0.23176305371574135,0.4588794134923576,0.31708723817735873,0.4762899431875734
21,MRK,0.060499082568807365,0.2002055757954594,0.05767134454377709,0.8827753125363381,0.28804887682747354,0.36417889444304663
22,DOW,0.5275284986660199,2.8563742392438844,0.4983945009355666,0.362000999938603,0.17447659657546385,0.5009976598241502
23,CVX,0.12306526680376668,0.8655996804968575,0.11715609626774137,0.36732737122607595,0.13534106768647972,0.1579041166022033
24,INTC,-0.04348558907803807,1.078025484847964,-0.041550630953288925,0.3365825875372376,-0.03854177609060446,-0.07676783153655191
